Pos,ID,Name,BV,SV,Team,2_xMins,3_xMins,4_xMins,5_xMins,6_xMins,7_xMins,8_xMins,9_xMins,10_xMins,11_xMins,12_xMins,13_xMins,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,9_Pts,10_Pts,11_Pts,12_Pts,13_Pts
M,426,McAtee,5.5,5.5,Nott'm Forest,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,0.31,0.36,0.26,0.35,0.39,0.30,0.31,0.31,0.33,0.36,0.28,0.33
M,427,Reijnders,5.6,5.6,Man City,69.90,69.90,69.90,69.90,69.90,69.90,69.90,69.90,69.90,69.90,69.90,69.90,3.86,3.47,3.77,2.75,4.50,3.60,3.71,3.26,3.90,3.32,3.22,4.08
M,428,Nypan,5.0,5.0,Man City,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,429,Phillips,5.0,5.0,Man City,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
F,430,Haaland,14.0,14.0,Man City,85.50,85.50,85.50,85.50,85.50,85.50,85.50,85.50,85.50,85.50,85.50,85.50,7.01,6.14,6.82,4.70,8.34,6.63,6.66,5.96,7.11,5.87,5.65,7.51
G,431,Bayindir,5.0,5.0,Man Utd,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.04,0.02,0.03,0.03,0.04,0.02,0.03,0.03,0.03,0.04,0.03
G,432,Onana,5.0,5.0,Man Utd,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,3.38,4.20,2.14,2.95,3.35,3.90,2.16,3.27,3.15,2.68,3.52,3.29
G,433,Harrison,4.0,4.0,Man Utd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,434,Heaton,4.0,4.0,Man Utd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,435,Mee,4.0,4.0,Man Utd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,436,De Ligt,5.0,5.0,Man Utd,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,2.62,3.32,1.66,2.14,2.44,3.16,1.72,2.57,2.32,2.19,2.75,2.34
D,437,Martinez,5.0,5.0,Man Utd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,438,Mazraoui,5.0,5.0,Man Utd,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,1.68,2.06,1.15,1.44,1.59,1.98,1.17,1.65,1.53,1.44,1.77,1.54
D,439,D.Leon,4.5,4.5,Man Utd,19.50,19.50,19.50,19.50,19.50,19.50,19.50,19.50,19.50,19.50,19.50,19.50,0.85,1.00,0.69,0.79,0.83,0.97,0.67,0.84,0.80,0.79,0.87,0.80
D,440,Dalot,4.5,4.5,Man Utd,65.70,65.70,65.70,65.70,65.70,65.70,65.70,65.70,65.70,65.70,65.70,65.70,2.87,3.90,1.78,2.41,2.74,3.70,1.75,2.83,2.62,2.43,3.17,2.63
D,441,Dorgu,4.5,4.5,Man Utd,77.40,77.40,77.40,77.40,77.40,77.40,77.40,77.40,77.40,77.40,77.40,77.40,3.35,4.66,1.87,2.79,3.13,4.51,1.86,3.30,2.98,2.78,3.75,2.98
D,442,Maguire,4.5,4.5,Man Utd,47.70,47.70,47.70,47.70,47.70,47.70,47.70,47.70,47.70,47.70,47.70,47.70,2.15,2.72,1.43,1.82,2.05,2.59,1.49,2.13,1.91,1.85,2.28,1.95
D,443,Shaw,4.5,4.5,Man Utd,61.05,61.05,61.05,61.05,61.05,61.05,61.05,61.05,61.05,61.05,61.05,61.05,2.79,3.65,1.70,2.33,2.61,3.42,1.79,2.72,2.51,2.31,3.05,2.54
D,444,Yoro,4.5,4.5,Man Utd,65.40,65.40,65.40,65.40,65.40,65.40,65.40,65.40,65.40,65.40,65.40,65.40,2.69,3.53,1.63,2.22,2.53,3.32,1.69,2.63,2.40,2.24,2.93,2.45
D,445,Amass,4.0,4.0,Man Utd,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,0.17,0.19,0.14,0.15,0.16,0.18,0.14,0.17,0.16,0.16,0.17,0.16
D,446,Fredricson,4.0,4.0,Man Utd,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10,0.24,0.29,0.18,0.21,0.23,0.28,0.19,0.24,0.22,0.22,0.25,0.22
D,447,Heaven,4.0,4.0,Man Utd,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,0.41,0.50,0.30,0.35,0.39,0.47,0.32,0.40,0.37,0.36,0.43,0.38
D,448,Malacia,4.0,4.0,Man Utd,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
M,449,B.Fernandes,9.0,9.0,Man Utd,86.10,86.10,86.10,86.10,86.10,86.10,86.10,86.10,86.10,86.10,86.10,86.10,6.10,7.28,4.69,5.34,5.83,7.35,4.82,6.11,5.34,5.79,6.02,5.55
M,450,Cunha,8.0,8.0,Man Utd,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,4.66,5.73,3.58,4.25,4.55,5.81,3.69,4.71,4.21,4.33,4.66,4.26
M,451,Rashford,7.0,7.0,Man Utd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,452,Amad,6.5,6.5,Man Utd,65.55,65.55,65.55,65.55,65.55,65.55,65.55,65.55,65.55,65.55,65.55,65.55,3.06,3.62,2.41,2.80,3.02,3.65,2.46,3.07,2.75,2.87,3.04,2.87
M,453,Garnacho,6.5,6.5,Man Utd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,454,Antony,6.0,6.0,Man Utd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,455,Mount,6.0,6.0,Man Utd,53.55,33.30,33.30,33.30,33.30,33.30,33.30,33.30,33.30,33.30,33.30,33.30,2.74,1.92,1.31,1.51,1.58,1.94,1.33,1.63,1.49,1.49,1.64,1.50
M,456,Sancho,6.0,6.0,Man Utd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,457,Casemiro,5.5,5.5,Man Utd,36.90,36.90,36.90,36.90,36.90,36.90,36.90,36.90,36.90,36.90,36.90,36.90,1.66,1.90,1.40,1.56,1.66,1.91,1.51,1.73,1.55,1.73,1.68,1.66
M,458,Mainoo,5.0,5.0,Man Utd,32.10,32.10,32.10,32.10,32.10,32.10,32.10,32.10,32.10,32.10,32.10,32.10,1.33,1.46,1.18,1.26,1.32,1.48,1.23,1.33,1.25,1.34,1.36,1.30
M,459,Ugarte,5.0,5.0,Man Utd,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,1.35,1.51,1.20,1.29,1.37,1.51,1.27,1.38,1.28,1.42,1.39,1.36
M,460,Collyer,4.5,4.5,Man Utd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,461,Fitzgerald,4.5,4.5,Man Utd,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
M,462,J.Fletcher,4.5,4.5,Man Utd,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
M,463,Kone,4.5,4.5,Man Utd,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
M,464,Moorhouse,4.5,4.5,Man Utd,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
F,465,Højlund,6.5,6.5,Man Utd,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,0.68,0.79,0.58,0.64,0.67,0.80,0.58,0.68,0.62,0.64,0.67,0.63
F,466,Zirkzee,6.0,6.0,Man Utd,13.65,13.65,13.65,13.65,13.65,13.65,13.65,13.65,13.65,13.65,13.65,13.65,0.75,0.86,0.63,0.70,0.72,0.87,0.62,0.74,0.68,0.70,0.73,0.72
F,467,Obi,4.5,4.5,Man Utd,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,0.65,0.77,0.54,0.61,0.63,0.78,0.55,0.66,0.60,0.61,0.65,0.60
F,468,Wheatley,4.5,4.5,Man Utd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,469,Pope,5.0,5.0,Newcastle,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,2.69,3.54,3.92,3.46,2.91,3.80,3.24,3.79,3.40,3.66,2.85,3.44
G,470,Dúbravka,4.0,4.0,Burnley,86.40,86.40,86.40,86.40,86.40,86.40,86.40,86.40,86.40,86.40,86.40,86.40,3.49,2.22,1.80,2.95,1.53,2.15,3.23,2.78,1.91,2.58,2.29,2.80
G,471,Gillespie,4.0,4.0,Newcastle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,472,Odysseas,4.0,4.0,Newcastle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,473,Hall,5.5,5.5,Newcastle,63.30,63.30,63.30,63.30,63.30,63.30,63.30,63.30,63.30,63.30,63.30,63.30,2.19,2.90,3.41,2.68,2.38,3.19,2.52,3.16,2.94,2.85,2.32,2.91
D,474,Schär,5.5,5.5,Newcastle,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,3.15,3.91,4.30,3.57,3.33,4.04,3.37,4.25,3.77,3.78,2.99,3.74
D,475,Botman,5.0,5.0,Newcastle,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,0.87,0.99,1.08,0.95,0.91,1.05,0.91,1.08,1.01,1.00,0.86,0.98
D,476,Burn,5.0,5.0,Newcastle,81.90,81.90,81.90,81.90,81.90,81.90,81.90,81.90,81.90,81.90,81.90,81.90,2.96,3.63,4.01,3.35,3.22,3.85,3.23,3.97,3.64,3.62,2.88,3.61
D,477,Livramento,5.0,5.0,Newcastle,80.40,80.40,80.40,80.40,80.40,80.40,80.40,80.40,80.40,80.40,80.40,80.40,2.40,3.27,3.74,2.96,2.74,3.56,2.83,3.63,3.31,3.22,2.57,3.24
D,478,Trippier,5.0,5.0,Newcastle,42.90,42.90,42.90,42.90,42.90,42.90,42.90,42.90,42.90,42.90,42.90,42.90,1.68,2.12,2.43,1.98,1.83,2.29,1.90,2.35,2.18,2.11,1.76,2.10
D,479,Krafth,4.5,4.5,Newcastle,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,0.50,0.55,0.58,0.53,0.50,0.56,0.51,0.58,0.55,0.55,0.49,0.53
D,480,Lascelles,4.5,4.5,Newcastle,5.70,5.70,5.70,5.70,5.70,5.70,5.70,5.70,5.70,5.70,5.70,5.70,0.20,0.22,0.23,0.21,0.20,0.22,0.21,0.22,0.21,0.22,0.20,0.21
D,481,A.Murphy,4.0,4.0,Newcastle,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
D,482,Ashby,4.0,4.0,Newcastle,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,0.04,0.05,0.05,0.04,0.04,0.05,0.04,0.05,0.05,0.05,0.04,0.05
D,483,Pivas,4.0,4.0,Newcastle,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
D,484,Targett,4.0,4.0,Newcastle,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,0.13,0.15,0.16,0.14,0.13,0.15,0.14,0.15,0.15,0.14,0.13,0.14
M,485,Gordon,7.5,7.5,Newcastle,71.55,71.55,71.55,71.55,71.55,71.55,71.55,71.55,71.55,71.55,71.55,71.55,4.10,4.58,4.47,3.80,3.31,4.11,3.63,4.22,3.99,3.97,3.58,3.66
M,486,Elanga,7.0,7.0,Newcastle,71.55,71.55,71.55,71.55,71.55,71.55,71.55,71.55,71.55,71.55,71.55,71.55,3.54,3.92,4.21,3.59,3.19,3.87,3.48,4.01,3.71,3.71,3.40,3.51
M,487,Barnes,6.5,6.5,Newcastle,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,3.72,4.09,4.45,3.89,3.36,4.14,3.72,4.27,4.03,4.01,3.58,3.74
M,488,Bruno G.,6.5,6.5,Newcastle,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,3.47,3.62,4.03,3.61,3.18,3.72,3.49,3.79,3.70,3.66,3.38,3.56
M,489,J.Murphy,6.5,6.5,Newcastle,30.30,30.30,30.30,30.30,30.30,30.30,30.30,30.30,30.30,30.30,30.30,30.30,1.45,1.53,1.71,1.52,1.37,1.60,1.47,1.62,1.57,1.58,1.45,1.47
M,490,Joelinton,6.0,6.0,Newcastle,78.00,78.00,78.00,78.00,78.00,78.00,78.00,78.00,78.00,78.00,78.00,78.00,3.55,3.70,4.02,3.58,3.07,3.71,3.43,3.69,3.65,3.63,3.22,3.43
M,491,Tonali,5.5,5.5,Newcastle,83.85,83.85,83.85,83.85,83.85,83.85,83.85,83.85,83.85,83.85,83.85,83.85,3.34,3.41,3.78,3.50,2.98,3.45,3.30,3.58,3.52,3.54,3.12,3.34
M,492,Antoñito C.,5.0,5.0,Newcastle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,493,Longstaff,5.0,5.0,Leeds United,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,1.17,1.38,1.30,1.35,1.42,1.45,1.44,1.45,1.30,1.27,1.38,1.17
M,494,Willock,5.0,5.0,Newcastle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,495,Hayden,4.5,4.5,Newcastle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,496,Kuol,4.5,4.5,Newcastle,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
M,497,L.Miley,4.5,4.5,Newcastle,21.15,21.15,21.15,21.15,21.15,21.15,21.15,21.15,21.15,21.15,21.15,21.15,0.87,0.89,0.97,0.89,0.83,0.92,0.87,0.92,0.91,0.92,0.85,0.88
M,498,White,4.5,4.5,Newcastle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,499,Isak,10.4,10.4,Newcastle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,500,Osula,5.5,5.5,Newcastle,20.10,20.10,20.10,20.10,20.10,20.10,20.10,20.10,20.10,20.10,20.10,20.10,1.10,1.15,1.28,1.13,1.01,1.21,1.11,1.23,1.18,1.18,1.09,1.07
F,501,Neave,4.5,4.5,Newcastle,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
G,502,Sels,5.0,5.0,Nott'm Forest,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,3.46,3.84,2.47,3.88,4.03,2.83,3.25,3.38,3.40,4.03,2.43,3.50
G,503,C.Miguel,4.0,4.0,Nott'm Forest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,504,Turner,4.0,4.0,Nott'm Forest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,505,Milenković,5.5,5.5,Nott'm Forest,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,3.63,4.40,2.89,4.44,4.70,3.12,3.32,3.62,3.87,4.42,2.79,3.92
D,506,Murillo,5.5,5.5,Nott'm Forest,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,3.86,4.59,3.17,4.76,4.92,3.30,3.47,3.81,4.08,4.67,2.96,4.13
D,507,Aina,5.0,5.0,Nott'm Forest,83.55,83.55,83.55,83.55,83.55,83.55,83.55,83.55,83.55,83.55,83.55,83.55,3.20,4.12,2.36,4.22,4.59,2.74,2.87,3.05,3.48,4.01,2.12,3.52
D,508,N.Williams,5.0,5.0,Nott'm Forest,83.55,83.55,83.55,83.55,83.55,83.55,83.55,83.55,83.55,83.55,83.55,83.55,3.11,4.05,2.29,4.02,4.36,2.66,2.83,3.01,3.41,3.98,2.11,3.44
D,509,David Carmo,4.5,4.5,Nott'm Forest,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
D,510,Jair Cunha,4.5,4.5,Nott'm Forest,15.15,15.15,15.15,15.15,15.15,15.15,15.15,15.15,15.15,15.15,15.15,15.15,0.62,0.70,0.57,0.70,0.73,0.58,0.61,0.64,0.65,0.69,0.56,0.66
D,511,Morato,4.5,4.5,Nott'm Forest,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,0.71,0.78,0.64,0.78,0.79,0.67,0.68,0.71,0.73,0.79,0.64,0.75
D,512,O.Richards,4.5,4.5,Nott'm Forest,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,0.31,0.36,0.27,0.36,0.38,0.29,0.30,0.31,0.33,0.36,0.26,0.33
