Name,Position,Price,xMins,GW4,GW5,GW6,GW7,Total,/£M,Elite%
M.Salah,MID,14.5,89,89,85,83,82,339,5.8,95.5%
Gyökeres,FWD,9.0,83,83,84,78,76,321,8.9,40.3%
Haaland,FWD,14.1,88,88,84,79,81,332,5.9,4.8%
Palmer,MID,10.4,75,75,87,82,83,327,7.9,12.5%
B.Fernandes,MID,9.0,88,88,86,87,85,346,9.6,93.0%
Mateta,FWD,7.5,89,89,84,85,80,338,11.3,60.0%
Watkins,FWD,8.9,86,86,79,80,79,324,9.1,46.8%
Sarr,MID,6.5,87,87,86,81,82,336,12.9,31.8%
Semenyo,MID,7.3,84,84,84,82,80,330,11.3,6.5%
Nick Woltemade,FWD,99.9,82,82,78,73,73,306,0.8,0.0%
Rogers,MID,7.0,87,87,83,80,76,326,11.6,11.3%
Gabriel,DEF,6.1,90,90,88,86,85,349,14.3,1.8%
Rice,MID,6.5,85,85,83,80,77,325,12.5,0.1%
Virgil,DEF,6.0,92,92,87,87,83,349,14.5,5.3%
Evanilson,FWD,7.0,78,78,78,76,72,304,10.9,13.7%
Cunha,MID,8.1,84,63,81,77,82,303,9.4,11.4%
Mbeumo,MID,8.1,81,81,77,76,73,307,9.5,3.7%
Ndiaye,MID,6.5,74,74,72,69,73,288,11.1,2.8%
João Pedro,FWD,7.7,81,81,74,76,76,307,10.0,17.3%
Muñoz,DEF,5.5,89,89,89,87,86,351,16.0,6.9%
Murillo,DEF,5.5,88,88,84,83,80,335,15.2,67.3%
Kudus,MID,6.6,78,78,73,75,70,296,11.2,9.0%
Raya,GK,5.5,93,93,92,90,91,366,16.6,1.2%
Georginio,MID,5.9,77,77,71,72,74,294,12.5,19.1%
Saka,MID,9.9,84,22,54,79,85,240,6.1,0.1%
Kluivert,MID,7.0,72,72,67,67,64,270,9.6,0.1%
Lacroix,DEF,5.0,90,90,88,84,85,347,17.4,3.5%
Wirtz,MID,8.4,74,74,68,66,65,273,8.1,64.0%
Ødegaard,MID,7.9,94,47,79,76,77,279,8.8,0.0%
Gakpo,MID,7.6,73,73,66,62,58,259,8.5,5.5%
Wood,FWD,7.7,80,80,75,74,72,301,9.8,14.5%
Enzo,MID,6.6,87,87,84,86,83,340,12.9,0.8%
Tielemans,MID,6.0,89,89,85,81,80,335,14.0,19.4%
Saliba,DEF,6.1,91,91,88,85,82,346,14.2,0.1%
Pedro Porro,DEF,5.6,78,78,77,76,72,303,13.5,95.8%
Xavi Simons,MID,99.9,57,57,76,73,72,278,0.7,0.0%
Marmoush,MID,8.4,51,51,50,52,51,204,6.1,0.2%
Konsa,DEF,4.5,89,89,86,88,85,348,19.3,6.0%
A.Becker,GK,5.5,92,92,91,87,84,354,16.1,0.3%
Cash,DEF,4.5,79,79,75,73,73,300,16.7,0.0%
Bruno G.,MID,6.5,88,88,88,85,82,343,13.2,0.1%
Anderson,MID,5.5,85,85,79,78,80,322,14.6,25.7%
Mitoma,MID,6.4,83,83,82,77,74,316,12.3,4.0%
Milenković,DEF,5.5,91,91,87,86,78,342,15.5,3.6%
Pino,MID,6.0,72,72,73,72,69,286,11.9,0.0%
Andersen,DEF,4.5,92,92,90,90,87,359,19.9,80.7%
Schär,DEF,5.5,89,89,83,77,77,326,14.8,0.1%
Iwobi,MID,6.5,84,84,77,74,74,309,11.9,0.0%
Strand Larsen,FWD,6.5,82,82,77,74,75,308,11.8,41.7%
Konaté,DEF,5.5,85,85,81,77,74,317,14.4,0.0%
Gibbs-White,MID,7.5,77,77,73,73,78,301,10.0,0.3%
Romero,DEF,5.0,91,91,88,85,84,348,17.4,12.9%
O.Dango,MID,6.0,84,84,78,80,74,316,13.2,5.0%
Rodrigo,MID,6.4,86,86,85,84,82,337,13.2,0.0%
N.Williams,DEF,5.0,82,82,80,78,72,312,15.6,34.8%
Vicario,GK,5.0,94,94,90,93,93,370,18.5,10.3%
Bowen,FWD,7.8,90,90,88,85,85,348,11.2,1.6%
Tarkowski,DEF,5.5,91,91,90,86,85,352,16.0,8.5%
Mac Allister,MID,6.5,82,62,74,71,80,287,11.0,0.0%
Schade,MID,7.0,82,82,78,72,72,304,10.9,0.0%
Guéhi,DEF,4.5,91,91,89,88,88,356,19.8,0.9%
L.Paquetá,MID,5.9,84,84,81,76,76,317,13.4,5.8%
Richards,DEF,4.5,87,87,84,82,81,334,18.6,14.2%
Petrović,GK,4.5,93,93,94,91,90,368,20.4,3.5%
Šeško,FWD,7.4,62,62,70,71,73,276,9.3,0.0%
Senesi,DEF,4.5,91,91,88,84,77,340,18.9,2.0%
Sánchez,GK,5.0,94,94,92,91,87,364,18.2,66.0%
Reijnders,MID,5.7,76,76,71,69,74,290,12.7,54.5%
Henderson,GK,5.0,92,92,92,91,90,365,18.3,0.0%
Pickford,GK,5.5,92,92,93,92,91,368,16.7,0.0%
Leno,GK,5.0,94,94,93,91,91,369,18.4,0.0%
Neto,MID,7.0,68,68,67,67,63,265,9.5,0.1%
Sels,GK,5.0,91,91,91,91,91,364,18.2,11.6%
Tonali,MID,5.4,89,89,85,83,83,340,15.7,0.0%
Pope,GK,5.0,91,91,89,89,86,355,17.8,0.0%
Caicedo,MID,5.5,89,89,86,90,82,347,15.8,0.2%
Wharton,MID,5.0,82,82,81,79,79,321,16.1,0.0%
Damsgaard,MID,5.9,82,82,82,80,80,324,13.7,0.0%
Dewsbury-Hall,MID,5.0,79,79,79,76,72,306,15.3,8.7%
Lukić,MID,5.0,87,87,85,79,81,332,16.6,0.0%
Calafiori,DEF,5.6,76,76,69,58,51,254,11.3,0.0%
Grealish,MID,6.7,77,77,77,75,75,304,11.3,0.0%
Perri,GK,4.5,92,92,90,92,92,366,20.3,1.2%
Cucurella,DEF,6.1,90,90,84,83,82,339,13.9,2.2%
Aït-Nouri,DEF,6.0,74,74,68,64,60,266,11.1,1.7%
Isak,FWD,10.4,19,19,56,78,76,229,5.5,0.0%
