Name,Position,Price,xMins,GW10,GW11,GW12,GW13,Total,/£M,Elite%
M.Salah,MID,14.3,88,6.5,4.2,6.4,5.9,23.0,0.40,9.6%
Haaland,FWD,14.7,87,6.3,5.7,4.7,5.8,22.5,0.38,91.9%
Saka,MID,10.0,83,5.7,5.5,5.5,4.3,21.0,0.52,37.3%
B.Fernandes,MID,8.9,90,5.3,4.6,5.6,4.3,19.8,0.56,83.1%
Mateta,FWD,7.7,88,5.4,4.9,4.6,4.6,19.5,0.63,14.8%
Gyökeres,FWD,9.0,80,5.2,5.3,5.0,3.7,19.3,0.54,64.6%
Semenyo,MID,8.1,90,3.8,4.3,5.8,4.8,18.7,0.58,76.0%
Gabriel,DEF,6.4,92,4.8,4.8,4.5,3.6,17.7,0.69,92.2%
Sarr,MID,6.5,84,4.6,4.2,4.2,4.3,17.3,0.67,16.9%
Ndiaye,MID,6.5,78,4.5,4.7,3.7,4.1,17.1,0.66,44.8%
Enzo,MID,6.7,86,4.1,5.2,4.4,3.2,16.9,0.63,65.6%
Watkins,FWD,8.5,79,3.6,4.4,4.0,4.9,16.9,0.50,0.9%
Eze,MID,7.6,73,4.5,4.5,4.2,3.4,16.7,0.55,0.6%
Virgil,DEF,6.0,92,4.4,3.4,4.6,4.4,16.7,0.69,16.8%
Schade,MID,7.0,81,4.0,4.2,3.7,4.7,16.6,0.59,0.1%
Cunha,MID,7.9,76,4.3,3.9,4.5,3.7,16.5,0.52,0.4%
Gordon,MID,7.5,77,4.8,4.1,3.8,3.7,16.4,0.55,5.8%
Mbeumo,MID,8.1,78,4.3,3.9,4.5,3.7,16.4,0.50,0.9%
Gakpo,MID,7.6,77,4.6,3.3,4.4,4.0,16.2,0.53,0.9%
Minteh,MID,6.0,82,4.6,3.7,4.1,3.7,16.2,0.67,13.2%
Muñoz,DEF,5.6,91,4.4,3.9,4.2,3.5,16.0,0.72,6.8%
Foden,MID,8.1,73,4.5,3.8,3.3,4.4,16.0,0.49,7.0%
J.Timber,DEF,6.0,79,4.4,4.4,4.1,3.2,16.0,0.67,16.5%
Rice,MID,6.6,82,4.1,4.3,4.0,3.5,15.8,0.60,0.0%
Raya,GK,5.7,92,4.1,4.2,4.0,3.5,15.8,0.69,67.6%
Neto,MID,7.0,79,3.9,4.8,3.9,3.0,15.6,0.56,0.1%
Saliba,DEF,6.0,89,4.2,4.2,3.9,3.2,15.5,0.65,2.8%
Lacroix,DEF,5.1,90,4.0,3.8,4.2,3.5,15.5,0.76,14.8%
