Name,Position,Price,xMins,GW14,GW15,GW16,GW17,Total,/£M,Elite%
Haaland,FWD,14.9,86,86,83,81,81,331,5.6,97.8%
Saka,MID,10.1,83,83,83,76,77,319,7.9,30.4%
B.Fernandes,MID,8.9,87,87,89,88,88,352,9.9,53.1%
Cunha,MID,7.9,81,81,81,75,78,315,10.0,2.4%
Foden,MID,8.1,81,81,74,75,71,301,9.3,74.0%
J.Timber,DEF,6.4,85,85,86,82,79,332,13.0,14.6%
Mateta,FWD,8.1,84,84,81,80,79,324,10.0,33.0%
M.Salah,MID,14.1,85,85,83,83,0,251,4.5,54.4%
Semenyo,MID,7.8,87,87,87,77,77,328,10.5,27.1%
Isak,FWD,10.4,79,79,72,75,75,301,7.2,0.0%
Woltemade,FWD,7.4,85,85,81,76,77,319,10.8,0.2%
Palmer,MID,10.3,46,46,65,81,75,267,6.5,0.3%
Virgil,DEF,6.0,92,92,87,84,83,346,14.4,39.3%
Thiago,FWD,6.7,87,87,83,78,76,324,12.1,84.3%
Rice,MID,7.0,86,86,82,80,79,327,11.7,0.2%
Raúl,FWD,6.2,80,80,77,76,79,312,12.6,0.2%
Raya,GK,5.9,90,90,91,92,90,363,15.4,31.9%
Calafiori,DEF,5.8,74,74,68,60,67,269,11.6,0.8%
Andersen,DEF,4.5,91,91,91,87,86,355,19.7,37.6%
Minteh,MID,6.2,79,79,81,78,77,315,12.7,24.0%
Ødegaard,MID,7.8,67,67,63,67,67,264,8.5,0.0%
Konaté,DEF,5.4,88,88,81,77,81,327,15.1,0.1%
Tavernier,MID,5.5,74,74,74,73,74,295,13.4,2.9%
Anderson,MID,5.4,86,86,80,80,81,327,15.1,11.7%
Lacroix,DEF,5.1,90,90,89,86,85,350,17.2,14.9%
Bruno G.,MID,6.7,88,88,84,82,81,335,12.5,0.1%
Gyökeres,FWD,8.8,36,36,56,66,70,228,6.5,0.4%
Gordon,MID,7.2,55,55,58,61,64,238,8.3,0.1%
Donnarumma,GK,5.7,93,93,86,91,81,351,15.4,0.6%
Doku,MID,6.6,64,64,61,61,61,247,9.4,2.0%
Tonali,MID,5.4,83,83,81,83,84,331,15.3,0.0%
A.Becker,GK,5.4,94,94,89,90,86,359,16.6,0.4%
Gvardiol,DEF,5.8,77,77,74,73,77,301,13.0,4.1%
Mbeumo,MID,8.6,85,85,83,83,0,251,7.3,4.0%
Damsgaard,MID,5.8,80,80,77,75,75,307,13.2,0.1%
Thiaw,DEF,4.9,89,89,88,81,81,339,17.3,0.9%
Watkins,FWD,8.5,66,66,65,71,71,273,8.0,0.4%
Kudus,MID,6.5,83,83,73,75,73,304,11.7,0.0%
Welbeck,FWD,6.6,63,63,68,64,61,256,9.7,1.5%
Enzo,MID,6.7,79,79,84,82,78,323,12.1,13.0%
Rogers,MID,6.9,78,78,82,83,79,322,11.7,37.2%
Neto,MID,7.2,76,76,70,67,66,279,9.7,0.1%
Strand Larsen,FWD,6.3,85,85,82,82,82,331,13.1,0.4%
Evanilson,FWD,7.0,78,78,71,74,69,292,10.4,0.4%
O’Reilly,DEF,5.2,61,61,63,59,77,260,12.5,58.1%
Guéhi,DEF,5.1,92,92,87,90,87,356,17.5,0.5%
Schade,MID,7.0,83,83,63,65,73,284,10.1,54.7%
Szoboszlai,MID,6.6,85,85,64,63,66,278,10.5,4.3%
Tarkowski,DEF,5.4,92,92,91,88,86,357,16.5,13.7%
Bowen,FWD,7.6,90,90,83,84,85,342,11.3,0.2%
Richards,DEF,4.6,85,85,88,83,81,337,18.3,8.6%
Tielemans,MID,5.9,82,82,77,81,81,321,13.6,0.3%
Verbruggen,GK,4.4,93,93,93,93,91,370,21.0,3.9%
Gakpo,MID,7.5,59,59,57,55,63,234,7.8,31.9%
João Pedro,FWD,7.4,76,76,68,70,70,284,9.6,0.6%
Mitchell,DEF,5.0,93,93,89,88,86,356,17.8,0.0%
Rúben,DEF,5.6,81,81,78,77,70,306,13.7,0.1%
Petrović,GK,4.5,93,93,92,91,91,367,20.4,8.9%
De Ligt,DEF,5.0,86,86,86,80,80,332,16.6,0.2%
Yeremy,MID,5.8,77,77,76,65,70,288,12.4,0.0%
Dewsbury-Hall,MID,4.9,88,88,85,83,86,342,17.4,4.1%
Lammens,GK,5.0,93,93,91,89,90,363,18.1,0.0%
Keane,DEF,4.6,89,89,90,83,87,349,19.0,4.8%
Livramento,DEF,4.9,88,88,88,81,79,336,17.1,0.0%
Georginio,MID,5.7,68,51,64,67,67,249,10.9,0.7%
Matheus N.,DEF,5.3,77,77,72,68,67,284,13.4,0.1%
Leno,GK,4.9,92,92,91,93,94,370,18.9,0.0%
Ayari,MID,4.9,80,80,74,73,78,305,15.6,0.0%
Sánchez,GK,4.8,87,87,87,90,88,352,18.3,1.9%
Henderson,GK,5.0,93,93,90,92,90,365,18.3,0.0%
Scott,MID,5.0,84,84,84,76,66,310,15.5,0.0%
Eze,MID,7.8,47,47,61,57,53,218,7.0,0.0%
Tete,DEF,4.5,89,89,88,85,79,341,18.9,0.3%
Cash,DEF,4.7,83,83,80,78,77,318,16.9,53.2%
Cucurella,DEF,6.2,78,78,79,77,70,304,12.3,0.2%
Sels,GK,4.7,91,91,93,91,90,365,19.4,0.2%
Van den Berg,DEF,4.5,91,91,89,87,80,347,19.3,20.6%
Kelleher,GK,4.5,93,93,93,92,90,368,20.4,9.0%
Vicario,GK,5.0,93,93,93,92,91,369,18.4,0.6%
Van Hecke,DEF,4.4,85,85,87,83,76,331,18.8,2.7%
Muñoz,DEF,6.0,91,91,66,67,70,294,12.3,14.4%
Wirtz,MID,8.0,53,53,60,58,62,233,7.3,0.3%
Martinez,GK,5.1,91,91,87,90,91,359,17.6,47.1%
Chalobah,DEF,5.2,81,81,72,72,73,298,14.3,0.2%
Collins,DEF,4.9,91,91,78,80,77,326,16.6,29.9%
Zubimendi,MID,5.3,87,87,81,76,73,317,15.0,0.0%
Truffert,DEF,4.5,83,83,83,83,78,327,18.2,5.3%
Gravenberch,MID,5.6,81,81,83,79,73,316,14.1,0.1%
Kamada,MID,5.0,75,75,72,73,72,292,14.6,0.0%
Ndiaye,MID,6.6,83,83,83,79,0,245,9.3,10.6%
E.Le Fée,MID,4.9,81,81,77,77,81,316,16.1,2.8%
Saliba,DEF,6.0,88,44,60,80,82,266,11.1,1.7%
Kluivert,MID,7.0,51,51,55,53,61,220,7.9,0.1%
Gibbs-White,MID,7.3,73,55,75,79,79,288,9.9,0.2%
Mac Allister,MID,6.3,70,70,74,65,68,277,11.0,0.0%
Pickford,GK,5.5,93,93,91,90,88,362,16.5,0.0%
Grealish,MID,6.6,86,86,82,78,76,322,12.2,0.0%
Romero,DEF,5.0,92,92,84,87,82,345,17.3,0.2%
Hincapie,DEF,5.4,69,69,68,65,49,251,11.6,0.0%
Dunk,DEF,4.5,87,87,82,78,78,325,18.1,0.0%
Wilson,MID,5.2,60,45,64,61,70,240,11.5,0.0%
Pedro Porro,DEF,5.4,77,77,77,73,67,294,13.6,1.3%
Dúbravka,GK,4.0,93,93,91,91,91,366,22.9,87.4%
Joelinton,MID,5.9,69,69,62,61,61,253,10.7,0.0%
J.Palhinha,MID,5.5,85,85,80,72,73,310,14.1,0.0%
Milenković,DEF,5.2,90,90,87,81,81,339,16.3,0.1%
Barnes,MID,6.4,57,57,48,45,46,196,7.7,0.1%
Estève,DEF,3.9,92,92,91,89,88,360,23.1,29.9%
Ndoye,MID,5.6,72,72,71,67,65,275,12.3,0.0%
Ekitiké,FWD,8.5,53,53,51,49,66,219,6.4,0.0%
Murillo,DEF,5.3,86,65,79,83,78,305,14.4,0.1%
Cullen,MID,5.0,87,87,82,79,84,332,16.6,0.0%
Florentino,MID,5.0,85,85,83,84,84,336,16.8,0.0%
Perri,GK,4.5,93,93,91,94,88,366,20.3,0.0%
Konsa,DEF,4.4,84,84,84,85,87,340,19.3,12.1%
James,DEF,5.6,62,62,58,70,59,249,11.1,0.1%
Kayode,DEF,4.5,90,90,85,84,79,338,18.8,0.0%
Roefs,GK,4.7,94,94,93,91,92,370,19.7,0.2%
Wharton,MID,5.0,76,76,76,74,76,302,15.1,0.0%
J.Arias,MID,5.0,62,62,62,57,68,249,12.4,0.1%
Johnstone,GK,4.5,93,93,92,91,88,364,20.2,0.0%
Hall,DEF,5.2,67,67,66,58,55,246,11.8,0.0%
Areola,GK,4.3,93,93,92,89,90,364,21.2,0.2%
Rodon,DEF,4.1,92,92,87,85,83,347,21.2,16.5%
Dalot,DEF,4.4,65,65,68,63,77,273,15.5,0.0%
Reijnders,MID,5.3,61,61,58,51,55,225,10.6,4.3%
Kevin,MID,5.8,56,56,60,54,72,242,10.4,0.0%
N.Williams,DEF,4.7,91,91,68,66,76,301,16.0,0.5%
Mykolenko,DEF,4.9,89,89,86,83,81,339,17.3,0.0%
McGinn,MID,5.4,64,64,65,64,71,264,12.2,0.0%
Amad,MID,6.3,80,80,76,76,0,232,9.2,0.0%
Anthony,MID,5.5,63,63,64,59,64,250,11.4,0.0%
Flemming,FWD,5.3,62,62,57,61,59,239,11.3,0.0%
Calvert-Lewin,FWD,5.5,59,59,57,57,50,223,10.1,2.1%
Van de Ven,DEF,4.8,91,91,87,80,76,334,17.4,1.0%
Diakité,DEF,4.4,89,89,71,65,63,288,16.4,0.3%
Nketiah,FWD,5.4,59,59,58,51,56,224,10.4,0.0%
Nmecha,FWD,5.0,71,71,61,53,55,240,12.0,0.0%
F.Kadıoğlu,DEF,4.4,69,69,75,74,72,290,16.5,0.0%
Wieffer,MID,4.9,73,73,59,68,61,261,13.3,0.2%
Henderson,MID,5.0,84,84,82,78,80,324,16.2,0.0%
O.Dango,MID,6.0,81,81,77,74,0,232,9.7,5.2%
Burn,DEF,5.1,73,73,65,60,57,255,12.5,0.2%
Garner,MID,5.0,89,89,64,69,72,294,14.7,0.0%
Casemiro,MID,5.5,71,71,54,58,57,240,10.9,0.0%
King,MID,4.5,59,59,59,60,64,242,13.4,2.8%
Tanaka,MID,4.8,82,82,80,71,73,306,15.9,0.0%
Xavi,MID,6.6,56,56,54,54,51,215,8.1,0.0%
Adams,MID,5.0,88,88,67,66,60,281,14.1,0.0%
Senesi,DEF,5.0,0,0,85,83,82,250,12.5,40.6%
Pau,DEF,4.3,77,77,72,76,75,300,17.4,0.8%
Summerville,MID,5.5,74,56,70,69,72,267,12.1,0.0%
Delap,FWD,6.2,57,57,45,43,43,188,7.6,0.0%
Buendía,MID,5.3,47,47,52,52,60,211,10.0,0.0%
Berge,MID,4.9,85,85,84,79,78,326,16.6,0.0%
Isidor,FWD,5.6,64,64,64,60,64,252,11.3,0.2%
Sessegnon,MID,5.4,78,78,74,58,53,263,12.2,0.0%
Xhaka,MID,5.2,90,90,69,72,77,308,14.8,0.2%
Gomez,MID,4.9,58,58,55,48,47,208,10.6,0.0%
Gomes,MID,5.3,83,83,65,59,73,280,13.2,0.0%
J.Murphy,MID,6.1,47,47,47,45,46,185,7.6,0.0%
Barry,FWD,5.7,60,60,56,56,58,230,10.1,0.0%
Kamara,MID,4.9,77,77,73,72,71,293,14.9,0.0%
Digne,DEF,4.5,59,59,58,59,61,237,13.2,2.8%
Gudmundsson,DEF,4.0,80,80,78,75,71,304,19.0,2.0%
Shaw,DEF,4.5,77,77,69,65,65,276,15.3,0.0%
Hartman,DEF,4.0,87,87,82,77,77,323,20.2,0.4%
L.Paquetá,MID,5.9,0,0,82,74,81,237,10.0,0.6%
Bogle,DEF,4.5,88,88,84,75,72,319,17.7,0.0%
Bernardo,MID,6.2,59,59,53,51,50,213,8.6,0.0%
