Name,Position,Price,xMins,GW22,GW23,GW24,GW25,Total,/£M,Elite%
Saka,MID,10.2,83,5.7,6.2,5.6,6.2,23.8,0.58,73.7%
Haaland,FWD,15.1,90,5.7,7.4,5.1,4.6,22.8,0.38,98.8%
Palmer,MID,10.4,78,5.1,4.4,5.5,4.7,19.7,0.47,1.7%
B.Fernandes,MID,9.1,88,4.7,3.7,5.7,5.5,19.7,0.54,0.6%
Gabriel,DEF,6.7,88,4.8,4.8,4.6,5.2,19.3,0.72,61.9%
J.Timber,DEF,6.3,89,4.7,4.7,4.4,5.0,18.7,0.74,37.1%
Watkins,FWD,8.8,77,5.0,4.0,4.9,4.4,18.3,0.52,0.2%
Ødegaard,MID,7.8,82,4.5,4.7,4.2,4.9,18.3,0.59,0.0%
Rice,MID,7.3,83,4.5,4.7,4.3,4.6,18.2,0.62,6.6%
Ekitiké,FWD,8.9,83,5.6,4.2,4.3,3.8,18.0,0.51,48.9%
Foden,MID,8.7,77,4.4,5.3,4.1,3.5,17.3,0.50,94.7%
Tavernier,MID,5.5,89,4.2,4.1,4.8,4.2,17.3,0.79,15.6%
Szoboszlai,MID,6.6,82,6.0,3.8,3.8,3.4,17.0,0.64,62.0%
Rogers,MID,7.6,89,4.7,3.9,4.3,4.0,16.8,0.55,4.7%
Wilson,MID,5.9,85,4.3,4.5,3.8,4.3,16.8,0.71,6.6%
Raúl,FWD,6.2,85,4.2,4.6,3.7,4.2,16.7,0.67,1.1%
Gordon,MID,7.5,78,4.8,4.1,3.5,4.4,16.7,0.56,19.3%
Bowen,FWD,7.7,90,4.0,4.7,3.6,4.3,16.6,0.54,3.0%
Saliba,DEF,5.9,89,4.2,4.0,3.9,4.4,16.5,0.70,1.3%
Raya,GK,5.9,93,4.1,4.1,4.0,4.2,16.5,0.70,69.4%
Gakpo,MID,7.3,73,5.6,3.6,3.9,3.4,16.4,0.56,0.0%
Wirtz,MID,8.2,76,5.3,3.6,3.9,3.4,16.2,0.49,1.7%
Thiago,FWD,7.1,86,3.9,4.8,3.6,3.8,16.1,0.57,53.8%
Mbeumo,MID,8.1,89,4.1,3.1,4.6,4.3,16.1,0.50,0.0%
Georginio,MID,5.6,77,4.7,3.5,3.8,4.0,16.0,0.72,2.2%
