Name,Position,Price,xMins,GW4,GW5,GW6,GW7,Total,/£M,Elite%
M.Salah,MID,14.5,89,89,86,85,83,343,5.9,95.5%
Haaland,FWD,14.1,90,90,83,84,79,336,6.0,4.8%
Gyökeres,FWD,9.0,82,82,83,80,79,324,9.0,40.3%
B.Fernandes,MID,9.0,90,90,87,85,84,346,9.6,93.0%
Watkins,FWD,8.9,86,86,86,82,81,335,9.4,46.8%
Mateta,FWD,7.5,85,85,85,78,69,317,10.6,60.0%
Mbeumo,MID,8.1,89,89,86,84,80,339,10.5,3.7%
Ødegaard,MID,7.9,82,82,77,76,73,308,9.7,0.0%
Virgil,DEF,6.0,90,90,87,88,79,344,14.3,5.3%
Wirtz,MID,8.4,76,76,72,70,68,286,8.5,64.0%
Semenyo,MID,7.4,86,86,82,83,80,331,11.2,6.5%
Rogers,MID,7.0,88,88,88,80,82,338,12.1,11.3%
Evanilson,FWD,7.0,82,82,81,80,77,320,11.4,13.7%
Gakpo,MID,7.7,76,76,68,65,59,268,8.7,5.5%
Palmer,MID,10.4,72,29,69,82,79,259,6.2,12.5%
João Pedro,FWD,7.7,75,75,74,74,75,298,9.7,17.3%
Rice,MID,6.5,87,87,81,76,76,320,12.3,0.1%
Muñoz,DEF,5.6,91,91,87,82,85,345,15.4,6.9%
Gabriel,DEF,6.1,91,91,85,84,86,346,14.2,1.8%
Reijnders,MID,5.7,83,83,71,73,77,304,13.3,54.5%
Šeško,FWD,7.4,76,76,83,79,72,310,10.5,0.0%
Wood,FWD,7.7,81,81,77,76,71,305,9.9,14.5%
Raya,GK,5.5,92,92,92,90,89,363,16.5,1.2%
Xavi,MID,7.0,59,59,81,74,73,287,10.3,0.0%
Tielemans,MID,5.9,88,88,84,83,78,333,14.1,19.4%
Mitoma,MID,6.4,85,85,80,76,81,322,12.6,4.0%
Georginio,MID,5.9,77,77,74,73,67,291,12.3,19.1%
Ndiaye,MID,6.5,65,49,73,74,76,272,10.5,2.8%
O.Dango,MID,6.0,84,84,79,78,80,321,13.4,5.0%
Lacroix,DEF,5.0,91,91,85,83,83,342,17.1,3.5%
Kudus,MID,6.6,79,79,73,71,69,292,11.1,9.0%
Tarkowski,DEF,5.5,93,93,92,89,88,362,16.5,8.5%
Damsgaard,MID,5.9,88,88,81,82,82,333,14.1,0.0%
Bowen,FWD,7.8,92,92,88,84,84,348,11.2,1.6%
Anderson,MID,5.5,84,84,82,79,80,325,14.8,25.7%
Kluivert,MID,7.0,67,67,65,67,60,259,9.3,0.1%
Murillo,DEF,5.5,90,90,88,85,85,348,15.8,67.3%
A.Becker,GK,5.5,94,94,90,86,86,356,16.2,0.3%
Rodrigo,MID,6.4,89,89,86,82,83,340,13.3,0.0%
Bruno G.,MID,6.5,90,90,85,83,81,339,13.0,0.1%
Thiago,FWD,6.0,82,82,76,74,73,305,12.7,9.2%
Senesi,DEF,4.6,89,89,88,86,82,345,18.8,2.0%
Calafiori,DEF,5.7,73,73,68,60,53,254,11.1,0.0%
Martinez,GK,5.0,91,91,90,92,89,362,18.1,0.6%
Enzo,MID,6.6,88,88,88,84,87,347,13.1,0.8%
Cash,DEF,4.5,79,79,77,76,73,305,16.9,0.0%
Richards,DEF,4.5,89,89,85,84,82,340,18.9,14.2%
Neto,MID,7.0,78,78,70,65,64,277,9.9,0.1%
Konaté,DEF,5.5,86,86,82,78,77,323,14.7,0.0%
Andersen,DEF,4.5,91,91,90,88,89,358,19.9,80.7%
Konsa,DEF,4.5,90,90,90,86,85,351,19.5,6.0%
Woltemade,FWD,7.0,80,80,75,56,56,267,9.5,0.0%
Minteh,MID,5.9,80,80,71,69,70,290,12.3,0.2%
Yeremy,MID,6.0,66,66,79,72,64,281,11.7,0.0%
Stach,MID,5.0,86,86,82,83,83,334,16.7,1.4%
Schade,MID,7.0,76,76,74,70,68,288,10.3,0.0%
Iwobi,MID,6.5,77,77,76,76,75,304,11.7,0.0%
Petrović,GK,4.5,93,93,93,91,92,369,20.5,3.5%
Guéhi,DEF,4.6,91,91,88,84,89,352,19.1,0.9%
Henderson,GK,5.0,94,94,91,92,90,367,18.4,0.0%
Milenković,DEF,5.5,90,90,88,88,85,351,16.0,3.6%
Tonali,MID,5.4,85,85,85,83,83,336,15.6,0.0%
Vicario,GK,5.0,93,93,92,90,91,366,18.3,10.3%
Dewsbury-Hall,MID,5.0,84,84,78,78,79,319,15.9,8.7%
L.Paquetá,MID,5.9,80,80,79,77,74,310,13.1,5.8%
Foden,MID,8.0,54,54,52,54,53,213,6.7,0.0%
Cucurella,DEF,6.1,89,89,88,84,80,341,14.0,2.2%
Joelinton,MID,5.9,68,68,77,79,75,299,12.7,0.0%
Ekitiké,FWD,8.8,72,72,58,53,40,223,6.3,1.6%
J.Timber,DEF,5.6,77,77,68,62,61,268,12.0,0.0%
Sánchez,GK,5.0,94,94,92,90,90,366,18.3,66.0%
Sels,GK,5.0,93,93,94,92,94,373,18.6,11.6%
Pope,GK,5.0,91,91,91,85,87,354,17.7,0.0%
J.Arias,MID,5.4,76,76,72,71,67,286,13.2,0.4%
Leno,GK,5.0,93,93,94,91,91,369,18.4,0.0%
Eze,MID,7.5,62,62,56,53,55,226,7.5,0.0%
Pickford,GK,5.5,93,93,93,90,90,366,16.6,0.0%
Gibbs-White,MID,7.5,76,76,71,74,71,292,9.7,0.3%
Pedro Porro,DEF,5.6,80,80,78,69,67,294,13.1,95.8%
Mitchell,DEF,5.0,81,81,80,77,77,315,15.8,0.0%
Dorgu,DEF,4.5,84,84,82,73,71,310,17.2,22.3%
Grealish,MID,6.7,80,80,79,75,70,304,11.3,0.0%
Tavernier,MID,5.5,61,61,61,65,62,249,11.3,0.0%
Caicedo,MID,5.5,77,77,88,87,86,338,15.4,0.2%
Romero,DEF,5.0,91,91,82,83,84,340,17.0,12.9%
Diakité,DEF,4.5,90,90,85,86,86,347,19.3,0.1%
Donnarumma,GK,5.5,62,62,93,92,93,340,15.5,0.0%
Truffert,DEF,4.5,89,89,85,81,79,334,18.6,0.2%
Burn,DEF,5.0,87,87,83,80,69,319,15.9,0.0%
Mac Allister,MID,6.4,50,50,73,72,69,264,10.3,0.0%
Barnes,MID,6.5,72,72,71,36,41,220,8.5,0.9%
Lukić,MID,5.0,86,86,84,80,82,332,16.6,0.0%
Verbruggen,GK,4.5,92,92,91,91,90,364,20.2,6.3%
Muniz,FWD,5.5,69,69,61,54,51,235,10.7,0.0%
Gvardiol,DEF,5.8,58,58,85,77,74,294,12.7,0.2%
Saka,MID,9.8,0,0,48,81,83,212,5.4,0.1%
Rodon,DEF,4.0,90,90,86,83,86,345,21.6,6.7%
Tete,DEF,4.5,83,83,78,75,70,306,17.0,0.0%
Szoboszlai,MID,6.5,67,67,56,52,55,230,8.8,0.0%
Collins,DEF,5.0,92,92,90,83,88,353,17.6,0.2%
Welbeck,FWD,6.4,63,63,60,61,48,232,9.1,0.0%
Van Hecke,DEF,4.5,91,91,87,85,86,349,19.4,0.0%
Gravenberch,MID,5.5,85,85,78,76,77,316,14.4,0.0%
Livramento,DEF,5.1,82,82,84,80,76,322,15.8,0.1%
N.Williams,DEF,5.0,92,92,76,68,68,304,15.2,34.8%
Kelleher,GK,4.5,92,92,93,93,92,370,20.6,2.9%
Gudmundsson,DEF,4.0,87,87,85,78,77,327,20.4,4.3%
Mings,DEF,4.5,74,74,72,73,71,290,16.1,0.0%
Van den Berg,DEF,4.5,91,91,88,85,81,345,19.2,0.7%
De Ligt,DEF,5.0,87,87,86,78,72,323,16.1,0.0%
Hermansen,GK,4.5,93,93,89,92,92,366,20.3,0.1%
Anthony,MID,5.5,82,82,78,75,69,304,13.8,0.0%
Bogle,DEF,4.5,84,84,85,76,80,325,18.1,0.0%
Chalobah,DEF,5.1,80,80,79,70,67,296,14.5,0.0%
Saliba,DEF,6.1,78,39,88,82,84,293,12.0,0.1%
Elanga,MID,7.0,66,66,63,51,49,229,8.2,0.8%
José Sá,GK,4.5,94,94,92,92,90,368,20.4,0.0%
Roefs,GK,4.5,95,95,93,94,90,372,20.7,0.0%
Calvert-Lewin,FWD,5.5,69,69,57,52,50,228,10.4,0.0%
Doku,MID,6.4,60,60,57,51,52,220,8.6,0.0%
Diarra,MID,5.5,80,80,82,77,79,318,14.5,0.0%
Agbadou,DEF,4.5,91,91,89,82,83,345,19.2,7.9%
Amad,MID,6.4,74,74,70,59,58,261,10.2,0.0%
O'Brien,DEF,5.0,91,91,84,86,78,339,16.9,0.1%
Van de Ven,DEF,4.6,90,90,88,78,81,337,18.3,15.3%
Robinson,DEF,5.0,58,58,88,83,80,309,15.4,0.0%
Kerkez,DEF,6.0,74,74,67,64,62,267,11.1,0.2%
Munetsi,MID,5.5,75,75,73,72,70,290,13.2,0.0%
Zubimendi,MID,5.5,82,82,79,77,73,311,14.1,0.0%
Gomes,MID,5.4,82,82,82,82,78,324,15.0,0.0%
Douglas Luiz,MID,5.0,60,60,70,72,70,272,13.6,0.0%
Hudson-Odoi,MID,6.0,67,67,63,66,62,258,10.8,0.0%
Xhaka,MID,5.0,90,90,87,82,87,346,17.3,0.2%
James,MID,5.4,63,63,60,57,51,231,10.7,0.0%
Dúbravka,GK,4.0,93,93,91,92,91,367,22.9,95.4%
McGinn,MID,5.5,75,75,66,57,52,250,11.4,0.0%
Bassey,DEF,4.5,90,90,88,83,80,341,18.9,0.0%
Kamada,MID,5.0,69,69,64,53,49,235,11.8,0.0%
Schär,DEF,5.5,56,56,75,72,68,271,12.3,0.1%
P.M.Sarr,MID,5.0,74,74,69,67,64,274,13.7,0.3%
Beto,FWD,5.4,54,54,52,56,54,216,10.0,0.0%
Kilman,DEF,4.4,90,90,87,85,82,344,19.5,0.1%
Dunk,DEF,4.5,87,87,78,83,78,326,18.1,0.0%
Gana,MID,5.4,82,82,74,74,74,304,14.1,0.0%
Richarlison,FWD,6.7,65,65,55,43,32,195,7.3,0.1%
King,MID,4.5,64,64,63,55,57,239,13.3,2.0%
Elliott,MID,5.4,63,63,64,46,43,216,10.0,0.0%
Ward-Prowse,MID,5.9,81,81,76,79,73,309,13.1,0.0%
Casemiro,MID,5.5,71,71,66,63,59,259,11.8,0.0%
Hall,DEF,5.4,55,55,60,70,68,253,11.7,0.0%
Mykolenko,DEF,4.9,80,60,86,81,79,306,15.6,0.0%
Madueke,MID,7.0,66,66,43,32,33,174,6.2,0.2%
Garner,MID,5.0,79,79,73,70,69,291,14.6,0.0%
Yoro,DEF,4.5,86,86,81,73,71,311,17.3,0.0%
Rúben,DEF,5.5,81,81,76,64,68,289,13.1,0.0%
Okafor,MID,5.5,51,51,50,57,62,220,10.0,0.0%
Bernardo,MID,6.4,62,62,55,59,58,234,9.1,0.0%
Estève,DEF,4.0,90,90,90,88,86,354,22.1,84.4%
Keane,DEF,4.5,86,86,79,67,49,281,15.6,0.0%
Tosin,DEF,4.5,78,78,70,59,53,260,14.4,1.1%
Yarmoliuk,MID,5.0,79,79,76,68,72,295,14.8,0.0%
Ndoye,MID,6.1,60,60,58,54,51,223,9.1,0.2%
Bobb,MID,5.5,51,51,47,47,51,196,8.9,0.0%
Wan-Bissaka,DEF,4.4,90,90,87,81,80,338,19.2,0.5%
Toti,DEF,4.4,89,89,83,81,83,336,19.1,0.0%
De Cuyper,DEF,4.5,75,75,73,69,67,284,15.8,0.8%
Cullen,MID,5.0,86,86,77,71,73,307,15.3,0.0%
Christie,MID,5.0,51,51,61,62,56,230,11.5,0.0%
Diouf,DEF,4.5,83,83,85,80,76,324,18.0,3.2%
Frimpong,DEF,5.9,27,27,48,72,67,214,9.1,0.1%
M.Fernandes,MID,5.5,63,63,63,65,60,251,11.4,0.0%
Digne,DEF,4.5,58,58,52,50,48,208,11.6,0.0%
Hannibal,MID,5.0,66,66,68,69,63,266,13.3,0.0%
Isak,FWD,10.4,13,13,32,50,73,168,4.0,0.0%
André,MID,5.5,76,76,73,73,75,297,13.5,0.0%
Adams,MID,5.0,84,84,68,59,53,264,13.2,0.0%
Bruun Larsen,MID,5.4,59,59,52,58,54,223,10.3,0.0%
Bentancur,MID,5.5,69,69,64,63,64,260,11.8,0.0%
Berge,MID,5.0,79,79,75,73,70,297,14.8,0.0%
Estêvão,MID,6.5,40,40,56,52,50,198,7.6,0.1%
Johnson,MID,7.1,54,54,42,39,43,178,6.3,0.6%
Sadiki,MID,5.0,84,84,81,79,79,323,16.1,0.0%
Ekdal,DEF,4.0,86,86,73,74,76,309,19.3,0.0%
Alderete,DEF,4.0,82,82,70,65,71,288,18.0,1.7%
Baleba,MID,4.9,64,64,64,59,59,246,12.6,0.0%
Talbi,MID,5.0,68,68,63,61,59,251,12.6,0.0%
Savinho,MID,6.9,36,36,41,44,43,164,5.9,0.1%
Souček,MID,5.8,65,65,66,60,60,251,10.8,0.0%
Gnonto,MID,5.4,52,52,50,46,51,199,9.2,0.0%
Adingra,MID,5.5,60,60,60,61,58,239,10.9,0.1%
Mukiele,DEF,4.0,83,83,77,69,73,302,18.9,0.0%
Gittens,MID,6.3,61,61,41,33,36,171,6.8,0.0%
A.Jimenez,DEF,4.5,61,61,61,56,50,228,12.7,0.0%
Adli,MID,5.5,39,39,44,45,44,172,7.8,0.0%
Savona,DEF,4.5,87,87,60,62,63,272,15.1,0.0%
J.Palhinha,MID,5.5,60,60,62,57,61,240,10.9,0.1%
Foster,FWD,5.0,59,59,57,49,49,214,10.7,0.0%
Wieffer,MID,5.0,43,43,50,69,60,222,11.1,0.0%
Hartman,DEF,4.0,83,83,80,73,72,308,19.3,0.4%
Kayode,DEF,4.5,71,71,71,69,66,277,15.4,0.0%
Henderson,MID,5.0,63,63,65,59,57,244,12.2,0.0%
Lewis-Potter,DEF,5.0,69,69,64,66,57,256,12.8,0.0%
Raúl,FWD,6.4,32,32,34,42,40,148,5.8,0.0%
Reinildo,DEF,4.0,79,79,81,75,77,312,19.5,0.6%
Krejčí,DEF,4.5,55,55,66,79,77,277,15.4,0.0%
Hughes,MID,4.9,65,65,57,48,43,213,10.9,0.0%
Barry,FWD,5.9,42,42,42,44,42,170,7.2,0.0%
Darlow,GK,4.0,87,87,86,52,15,240,15.0,0.0%
Gusto,DEF,5.0,61,61,52,49,48,210,10.5,0.0%
Ampadu,MID,4.9,61,46,71,67,68,252,12.9,0.0%
Spence,DEF,4.5,64,64,60,53,54,231,12.8,0.2%
Ayari,MID,5.0,55,55,49,53,48,205,10.3,0.0%
