Name,Position,Price,xMins,GW3,GW4,GW5,GW6,Total,/£M,Elite%
M.Salah,MID,14.5,89,5.8,7.0,7.6,6.1,26.6,0.46,96.8%
Haaland,FWD,14.1,87,5.4,5.9,4.1,6.6,22.0,0.39,2.6%
Palmer,MID,10.5,93,5.2,5.5,5.1,5.9,21.7,0.52,98.8%
Watkins,FWD,9.0,86,5.2,4.5,5.4,5.4,20.5,0.57,46.0%
Gyökeres,FWD,9.0,88,4.3,6.0,4.8,4.7,19.9,0.55,1.7%
B.Fernandes,MID,9.0,87,5.9,3.9,4.8,4.7,19.4,0.54,87.5%
Mateta,FWD,7.5,89,4.3,6.1,4.8,4.0,19.2,0.64,50.1%
Wirtz,MID,8.5,78,4.1,4.9,5.0,4.1,18.1,0.53,66.8%
Rogers,MID,7.0,87,4.5,3.9,4.5,4.6,17.4,0.62,11.0%
Murillo,DEF,5.5,90,4.9,3.1,4.4,5.0,17.4,0.79,66.2%
Wood,FWD,7.6,83,5.0,3.2,4.2,4.9,17.3,0.57,1.0%
Sarr,MID,6.5,88,3.8,5.5,4.1,3.6,17.0,0.65,7.6%
Semenyo,MID,7.2,87,4.0,4.4,4.1,4.2,16.7,0.58,1.2%
Strand Larsen,FWD,6.5,85,4.6,3.6,4.7,3.6,16.5,0.63,59.4%
Virgil,DEF,6.0,92,3.8,4.6,4.3,3.8,16.5,0.69,5.5%
Tielemans,MID,6.0,91,4.4,3.8,4.3,4.0,16.4,0.69,12.6%
Marmoush,MID,8.4,54,3.8,4.5,3.0,5.1,16.4,0.49,1.1%
Gakpo,MID,7.5,66,3.5,4.4,4.6,3.8,16.3,0.54,4.2%
Pedro Porro,DEF,5.5,87,4.6,3.9,3.2,4.6,16.3,0.74,95.0%
Milenković,DEF,5.5,92,4.6,2.8,4.1,4.6,16.2,0.73,2.6%
Cunha,MID,8.0,82,5.2,3.2,3.9,3.8,16.0,0.50,0.1%
Ekitiké,FWD,8.6,71,3.8,4.3,4.3,3.6,16.0,0.46,1.7%
Mac Allister,MID,6.5,83,3.7,4.2,4.1,3.7,15.9,0.61,0.0%
Mbeumo,MID,8.0,80,5.0,3.2,3.7,3.9,15.8,0.49,0.1%
Kudus,MID,6.6,73,4.4,3.8,3.3,4.2,15.7,0.60,0.5%
Ndiaye,MID,6.5,80,4.2,3.9,3.0,4.4,15.7,0.60,2.6%
Solanke,FWD,7.4,54,3.5,4.0,3.7,4.4,15.6,0.53,0.2%
Gibbs-White,MID,7.5,80,4.5,2.8,3.8,4.4,15.6,0.52,0.0%
Isak,FWD,10.4,0,0.0,6.2,5.0,4.3,15.5,0.37,0.0%
Bowen,FWD,7.9,91,3.7,4.1,4.0,3.5,15.4,0.49,2.5%
Evanilson,FWD,7.0,82,3.7,4.1,3.8,3.7,15.3,0.55,16.5%
Martinez,GK,5.0,93,3.8,3.7,3.9,3.8,15.3,0.76,0.0%
N.Williams,DEF,5.0,90,4.7,2.6,3.8,4.2,15.2,0.76,33.5%
Schade,MID,7.0,80,4.4,3.7,3.4,3.7,15.2,0.54,0.0%
Enzo,MID,6.5,90,4.2,3.7,3.6,3.7,15.2,0.58,0.1%
Rice,MID,6.5,90,3.7,4.1,3.7,3.7,15.1,0.58,0.1%
Mitoma,MID,6.5,85,3.7,3.9,4.2,3.3,15.1,0.58,1.9%
