Name,Position,Price,xMins,GW4,GW5,GW6,GW7,Total,/£M,Elite%
M.Salah,MID,14.5,89,7.1,6.8,5.5,4.9,24.4,0.42,95.5%
Gyökeres,FWD,9.0,83,6.1,5.3,4.7,6.4,22.5,0.62,40.3%
Haaland,FWD,14.1,88,5.9,4.0,6.4,5.3,21.6,0.38,4.8%
Palmer,MID,10.4,75,5.1,5.2,6.0,4.9,21.2,0.51,12.5%
B.Fernandes,MID,9.0,88,4.1,4.8,5.1,6.2,20.2,0.56,93.0%
Mateta,FWD,7.5,89,6.3,4.8,4.2,4.2,19.5,0.65,60.0%
Watkins,FWD,8.9,86,4.1,4.8,4.7,5.2,18.8,0.53,46.8%
Sarr,MID,6.5,87,5.5,4.4,3.6,3.8,17.3,0.67,31.8%
Semenyo,MID,7.3,84,4.4,4.3,4.1,4.3,17.0,0.58,6.5%
Nick Woltemade,FWD,99.9,82,5.4,4.1,3.4,4.1,17.0,0.04,0.0%
Rogers,MID,7.0,87,3.7,4.3,4.1,4.4,16.6,0.59,11.3%
Gabriel,DEF,6.1,90,4.6,3.7,3.6,4.7,16.5,0.68,1.8%
Rice,MID,6.5,85,4.4,3.9,3.7,4.4,16.4,0.63,0.1%
Virgil,DEF,6.0,92,4.7,4.4,3.9,3.3,16.3,0.68,5.3%
Evanilson,FWD,7.0,78,4.2,4.1,3.9,4.0,16.2,0.58,13.7%
Cunha,MID,8.1,84,2.6,4.0,4.0,5.6,16.1,0.50,11.4%
Mbeumo,MID,8.1,81,3.4,3.8,3.9,4.9,16.1,0.50,3.7%
Ndiaye,MID,6.5,74,4.1,3.1,4.5,4.2,15.9,0.61,2.8%
João Pedro,FWD,7.7,81,4.3,3.7,4.3,3.6,15.9,0.52,17.3%
Muñoz,DEF,5.5,89,5.4,4.1,2.8,3.5,15.9,0.72,6.9%
Murillo,DEF,5.5,88,3.0,4.4,5.1,3.4,15.8,0.72,67.3%
Kudus,MID,6.6,78,4.1,3.5,4.6,3.6,15.8,0.60,9.0%
Raya,GK,5.5,93,4.2,3.7,3.6,4.2,15.7,0.71,1.2%
Georginio,MID,5.9,77,4.0,4.1,3.2,4.2,15.5,0.66,19.1%
Saka,MID,9.9,84,1.5,3.1,4.4,6.5,15.4,0.39,0.1%
Kluivert,MID,7.0,72,4.2,3.8,3.7,3.8,15.4,0.55,0.1%
Lacroix,DEF,5.0,90,5.0,3.9,2.9,3.5,15.3,0.77,3.5%
Wirtz,MID,8.4,74,4.5,4.2,3.5,3.1,15.2,0.45,64.0%
Ødegaard,MID,7.9,94,2.7,4.0,3.7,4.8,15.2,0.48,0.0%
Gakpo,MID,7.6,73,4.6,4.2,3.4,3.0,15.1,0.50,5.5%
Wood,FWD,7.7,80,3.1,4.0,4.7,3.3,15.1,0.49,14.5%
Enzo,MID,6.6,87,4.0,3.6,4.1,3.4,15.1,0.57,0.8%
Tielemans,MID,6.0,89,3.6,3.9,3.6,3.9,15.1,0.63,19.4%
Saliba,DEF,6.1,91,4.2,3.4,3.3,4.1,15.0,0.62,0.1%
Pedro Porro,DEF,5.6,78,3.9,3.2,4.5,3.4,15.0,0.67,95.8%
Xavi Simons,MID,99.9,57,3.1,3.6,4.5,3.7,15.0,0.04,0.0%
Marmoush,MID,8.4,51,3.8,2.7,4.8,3.7,15.0,0.45,0.2%
Konsa,DEF,4.5,89,3.3,3.9,3.6,4.1,14.9,0.83,6.0%
A.Becker,GK,5.5,92,4.1,4.1,3.6,3.1,14.9,0.68,0.3%
Cash,DEF,4.5,79,3.2,3.9,3.5,4.1,14.8,0.82,0.0%
Bruno G.,MID,6.5,88,4.3,3.7,3.2,3.6,14.8,0.57,0.1%
Anderson,MID,5.5,85,3.2,3.8,4.3,3.5,14.8,0.67,25.7%
Mitoma,MID,6.4,83,3.8,4.1,3.1,3.7,14.7,0.58,4.0%
Milenković,DEF,5.5,91,2.7,4.2,4.9,2.9,14.7,0.67,3.6%
Pino,MID,6.0,72,4.5,3.7,3.2,3.2,14.6,0.61,0.0%
Andersen,DEF,4.5,92,4.2,4.0,3.0,3.3,14.6,0.81,80.7%
Schär,DEF,5.5,89,4.8,3.4,2.7,3.7,14.5,0.66,0.1%
Iwobi,MID,6.5,84,4.3,3.9,3.0,3.3,14.5,0.56,0.0%
Strand Larsen,FWD,6.5,82,3.5,4.1,3.2,3.7,14.5,0.56,41.7%
Konaté,DEF,5.5,85,4.3,4.0,3.3,2.8,14.4,0.66,0.0%
Gibbs-White,MID,7.5,77,2.8,3.7,4.5,3.4,14.4,0.48,0.3%
Romero,DEF,5.0,91,3.8,3.1,4.1,3.4,14.3,0.72,12.9%
O.Dango,MID,6.0,84,3.7,3.5,3.9,3.2,14.3,0.60,5.0%
Rodrigo,MID,6.4,86,3.7,3.0,3.9,3.6,14.3,0.56,0.0%
