Name,Position,Price,xMins,GW6,GW7,GW8,GW9,Total,/£M,Elite%
Haaland,FWD,14.3,89,89,80,83,81,333,5.8,3.7%
M.Salah,MID,14.5,89,89,83,81,81,334,5.8,98.2%
B.Fernandes,MID,9.0,90,90,83,86,85,344,9.6,91.8%
Saka,MID,9.8,94,64,82,81,84,311,7.9,0.1%
Gyökeres,FWD,9.0,76,76,78,71,64,289,8.0,63.6%
Semenyo,MID,7.7,86,86,86,80,81,333,10.8,28.8%
Palmer,MID,10.4,56,23,66,81,80,250,6.0,5.0%
Watkins,FWD,8.8,82,82,80,78,76,316,9.0,40.8%
João Pedro,FWD,7.8,79,79,72,71,73,295,9.5,17.2%
Cunha,MID,8.0,67,67,79,81,74,301,9.4,1.3%
Isak,FWD,10.5,56,56,80,77,77,290,6.9,0.0%
Evanilson,FWD,7.0,83,83,81,78,77,319,11.4,16.1%
Ndiaye,MID,6.5,77,77,72,80,73,302,11.6,2.4%
Virgil,DEF,6.1,93,93,90,87,84,354,14.5,23.9%
Gabriel,DEF,6.1,90,90,87,89,81,347,14.2,7.1%
Neto,MID,7.0,80,80,71,71,71,293,10.5,0.1%
Senesi,DEF,4.7,90,90,85,85,82,342,18.2,19.6%
Schade,MID,7.0,73,73,75,73,71,292,10.4,0.0%
Raya,GK,5.5,93,93,92,92,92,369,16.8,12.2%
Kudus,MID,6.6,78,78,77,69,72,296,11.2,7.2%
Anderson,MID,5.5,88,88,87,84,82,341,15.5,25.4%
Xavi,MID,7.1,75,75,71,68,67,281,9.9,0.2%
Mbeumo,MID,8.1,81,81,77,78,73,309,9.5,0.8%
Tarkowski,DEF,5.5,91,91,90,92,88,361,16.4,7.2%
Reijnders,MID,5.6,79,79,76,71,75,301,13.4,56.9%
Gvardiol,DEF,5.8,88,88,81,75,70,314,13.5,0.2%
Donnarumma,GK,5.6,93,93,92,90,92,367,16.4,0.1%
Thiago,FWD,6.0,76,76,71,73,72,292,12.2,10.8%
Enzo,MID,6.7,88,88,84,82,77,331,12.4,1.0%
Pedro Porro,DEF,5.6,81,81,72,74,74,301,13.4,80.3%
Damsgaard,MID,5.9,87,87,84,80,74,325,13.8,0.0%
Rice,MID,6.5,83,83,80,76,81,320,12.3,0.2%
Strand Larsen,FWD,6.4,66,66,78,78,76,298,11.6,24.8%
Mateta,FWD,7.6,81,81,73,71,72,297,9.8,69.6%
Rogers,MID,7.0,88,88,82,84,78,332,11.9,10.6%
Cucurella,DEF,6.2,85,85,82,80,78,325,13.1,1.0%
Wood,FWD,7.6,75,75,74,70,71,290,9.5,10.8%
Gakpo,MID,7.7,71,71,66,63,64,264,8.6,9.2%
Stach,MID,5.0,90,90,86,80,81,337,16.9,6.7%
Bowen,FWD,7.7,90,90,87,83,86,346,11.2,1.0%
Vicario,GK,5.1,94,94,90,93,93,370,18.1,9.0%
Saliba,DEF,6.0,91,91,84,82,82,339,14.1,0.1%
Wirtz,MID,8.3,73,73,62,63,64,262,7.9,61.0%
L.Paquetá,MID,5.9,83,83,78,78,80,319,13.5,22.0%
Šeško,FWD,7.3,76,76,71,71,70,288,9.9,0.0%
Georginio,MID,5.8,75,75,72,67,65,279,12.0,21.4%
Ødegaard,MID,7.9,72,60,73,72,67,272,8.6,0.0%
Caicedo,MID,5.6,89,89,84,87,84,344,15.4,0.3%
Mitoma,MID,6.4,84,84,80,77,76,317,12.4,4.7%
Gordon,MID,7.4,64,64,68,65,61,258,8.7,0.0%
Romero,DEF,5.1,92,92,86,86,81,345,16.9,10.2%
Petrović,GK,4.5,93,93,92,91,92,368,20.4,3.6%
Tavernier,MID,5.5,71,71,67,65,62,265,12.0,0.1%
Foden,MID,8.0,62,62,55,50,49,216,6.8,0.0%
Bruno G.,MID,6.5,89,89,87,82,80,338,13.0,0.3%
Calafiori,DEF,5.7,72,72,65,61,54,252,11.1,0.0%
Calvert-Lewin,FWD,5.5,71,71,69,64,53,257,11.7,0.0%
Eze,MID,7.5,62,62,57,54,59,232,7.7,0.0%
J.Timber,DEF,5.8,79,79,73,65,58,275,11.9,0.1%
Woltemade,FWD,7.1,78,78,74,64,54,270,9.5,0.6%
Minteh,MID,5.9,76,76,77,71,76,300,12.7,1.7%
Pickford,GK,5.5,93,93,92,91,93,369,16.8,0.0%
A.Becker,GK,5.5,93,93,88,87,84,352,16.0,0.4%
Gibbs-White,MID,7.5,75,75,76,71,73,295,9.8,0.2%
Rodrigo,MID,6.4,84,84,83,79,78,324,12.7,0.1%
