Name,Position,Price,xMins,GW16,GW17,GW18,GW19,Total,/£M,Elite%
Haaland,FWD,15.0,87,87,85,82,80,334,5.6,98.2%
B.Fernandes,MID,9.0,90,90,88,87,86,351,9.8,94.3%
Saka,MID,10.1,82,82,84,79,75,320,7.9,71.5%
Palmer,MID,10.3,89,89,84,80,80,333,8.1,0.3%
Isak,FWD,10.4,81,81,79,77,77,314,7.5,0.0%
Thiago,FWD,6.9,87,87,83,77,81,328,11.9,49.5%
Foden,MID,8.5,80,80,76,75,73,304,8.9,74.5%
Mateta,FWD,8.0,82,82,87,81,80,330,10.3,52.6%
Cunha,MID,7.9,80,80,81,78,79,318,10.1,14.6%
J.Timber,DEF,6.5,88,88,83,81,76,328,12.6,49.1%
Semenyo,MID,7.6,86,86,85,84,80,335,11.0,27.3%
Gordon,MID,7.2,69,69,69,70,72,280,9.7,6.0%
Virgil,DEF,6.0,92,92,88,83,79,342,14.3,72.1%
Gakpo,MID,7.5,62,62,65,64,62,253,8.4,0.5%
Rice,MID,7.1,83,83,79,80,78,320,11.3,0.7%
O’Reilly,DEF,5.2,75,75,81,79,76,311,15.0,15.4%
Raúl,FWD,6.2,80,80,82,77,60,299,12.1,0.9%
Damsgaard,MID,5.8,80,80,75,74,72,301,13.0,0.1%
Raya,GK,6.0,92,92,92,89,89,362,15.1,72.2%
Woltemade,FWD,7.5,76,76,79,80,78,313,10.4,10.1%
Andersen,DEF,4.5,91,91,89,87,84,351,19.5,86.4%
Saliba,DEF,6.0,92,78,87,82,86,333,13.9,1.9%
Szoboszlai,MID,6.6,85,85,67,64,68,284,10.8,3.1%
Doku,MID,6.6,67,67,64,70,67,268,10.2,0.4%
Enzo,MID,6.7,90,90,84,84,78,336,12.5,28.5%
Bowen,FWD,7.5,91,91,87,84,85,347,11.6,0.3%
Gibbs-White,MID,7.3,84,84,83,77,82,326,11.2,0.0%
Van den Berg,DEF,4.5,92,92,87,83,79,341,18.9,8.9%
Welbeck,FWD,6.6,80,80,75,72,71,298,11.3,11.2%
Konaté,DEF,5.4,84,84,81,81,81,327,15.1,0.4%
Wirtz,MID,8.0,65,65,64,63,63,255,8.0,0.3%
A.Becker,GK,5.4,94,94,93,89,86,362,16.8,0.3%
Ekitiké,FWD,8.4,61,61,64,64,62,251,7.5,0.0%
Gvardiol,DEF,5.8,81,81,76,77,73,307,13.2,2.3%
Donnarumma,GK,5.7,95,95,89,89,86,359,15.7,2.5%
João Pedro,FWD,7.3,80,80,70,69,72,291,10.0,1.2%
Watkins,FWD,8.5,71,71,73,72,73,289,8.5,0.2%
Wilson,MID,5.2,69,69,76,71,72,288,13.8,0.1%
L.Paquetá,MID,5.9,82,82,81,76,77,316,13.4,0.8%
E.Le Fée,MID,4.9,77,77,80,80,78,315,16.1,1.0%
Tavernier,MID,5.5,73,73,77,72,73,295,13.4,2.9%
Bruno G.,MID,6.9,89,89,82,83,83,337,12.2,1.1%
Anderson,MID,5.4,86,86,85,76,77,324,15.0,30.5%
Minteh,MID,6.3,87,87,82,77,73,319,12.7,69.5%
Guéhi,DEF,5.2,91,91,90,88,85,354,17.0,1.1%
Lacroix,DEF,5.1,91,91,84,82,80,337,16.5,30.3%
Yeremy,MID,5.8,76,76,78,72,68,294,12.7,0.0%
Neto,MID,7.3,75,75,64,69,63,271,9.3,0.1%
Rogers,MID,6.9,84,84,84,82,80,330,12.0,0.1%
Evanilson,FWD,7.0,73,73,73,73,69,288,10.3,0.2%
Kelleher,GK,4.5,92,92,93,91,91,367,20.4,3.9%
Tarkowski,DEF,5.4,91,91,91,86,78,346,16.0,30.3%
Ødegaard,MID,7.8,65,65,60,64,65,254,8.1,0.0%
Dewsbury-Hall,MID,5.0,85,85,86,86,84,341,17.1,18.5%
Eze,MID,7.8,54,54,57,52,52,215,6.9,0.2%
Kayode,DEF,4.5,89,89,83,86,81,339,18.8,0.1%
Mitchell,DEF,5.0,92,92,88,84,87,351,17.6,0.0%
Richards,DEF,4.6,90,90,86,80,80,336,18.3,24.0%
Kudus,MID,6.5,81,81,79,72,71,303,11.7,0.0%
Gravenberch,MID,5.6,82,82,82,80,76,320,14.3,0.0%
Collins,DEF,4.9,91,91,73,73,76,313,16.0,2.6%
Senesi,DEF,5.0,94,71,89,85,86,331,16.6,34.5%
Leno,GK,4.9,94,94,93,89,90,366,18.7,0.0%
Matheus N.,DEF,5.3,80,80,73,68,72,293,13.8,0.0%
