Name,Position,Price,xMins,GW7,GW8,GW9,GW10,Total,/£M,Elite%
M.Salah,MID,14.5,89,5.2,6.5,5.8,6.4,23.9,0.41,7.9%
Haaland,FWD,14.4,89,6.2,6.2,5.1,5.8,23.3,0.41,97.9%
Saka,MID,9.8,80,6.2,4.8,5.1,4.9,20.9,0.53,7.3%
B.Fernandes,MID,9.0,89,6.5,4.0,5.2,4.8,20.5,0.57,95.5%
Semenyo,MID,7.8,88,5.3,4.2,5.2,3.6,18.4,0.59,64.3%
Isak,FWD,10.6,77,3.9,5.1,4.5,4.8,18.4,0.43,0.3%
Gyökeres,FWD,9.0,82,6.2,4.4,4.1,3.7,18.4,0.51,70.5%
Cunha,MID,8.0,83,5.6,3.3,4.6,4.0,17.5,0.55,3.5%
Gabriel,DEF,6.2,89,5.0,4.1,4.1,4.3,17.5,0.71,59.3%
Virgil,DEF,6.1,91,4.1,4.5,4.1,4.4,17.1,0.70,17.5%
Watkins,FWD,8.7,80,5.4,4.0,4.2,3.4,17.0,0.49,12.9%
João Pedro,FWD,7.8,81,4.0,4.1,4.9,3.7,16.8,0.54,43.1%
Ndiaye,MID,6.5,80,4.4,3.5,4.4,4.4,16.7,0.64,61.9%
Mateta,FWD,7.5,81,4.1,4.5,3.3,4.6,16.5,0.55,9.5%
Sarr,MID,6.4,85,4.1,4.5,3.2,4.7,16.5,0.64,2.4%
Saliba,DEF,6.0,90,4.5,3.9,3.9,4.0,16.3,0.68,0.8%
Ødegaard,MID,7.9,68,4.4,3.8,4.0,4.1,16.3,0.52,0.0%
Evanilson,FWD,7.0,82,4.5,3.7,4.7,3.4,16.2,0.58,8.2%
Mbeumo,MID,8.1,84,5.0,3.0,4.1,3.8,16.0,0.49,2.9%
Raya,GK,5.6,93,4.3,3.8,3.9,4.0,16.0,0.71,59.4%
Enzo,MID,6.7,88,4.0,4.0,4.6,3.4,16.0,0.60,5.9%
Calafiori,DEF,5.7,75,5.0,3.5,3.7,3.6,15.9,0.70,0.1%
Georginio,MID,5.8,75,4.3,3.8,3.5,4.1,15.6,0.67,5.2%
Mitoma,MID,6.4,86,4.2,3.8,3.5,3.9,15.4,0.60,4.0%
Wirtz,MID,8.2,60,3.1,4.0,4.0,4.2,15.4,0.47,12.3%
Rice,MID,6.5,85,4.4,3.6,3.6,3.7,15.4,0.59,0.1%
Stach,MID,5.0,87,4.0,3.8,4.0,3.5,15.4,0.77,45.1%
Gakpo,MID,7.6,67,3.5,4.1,3.6,4.2,15.3,0.50,3.4%
Calvert-Lewin,FWD,5.5,77,4.2,3.9,4.3,3.0,15.3,0.70,11.0%
Anderson,MID,5.5,87,3.8,3.9,3.7,3.9,15.2,0.69,15.1%
Gordon,MID,7.4,73,4.7,3.4,3.7,3.4,15.2,0.51,0.0%
Neto,MID,7.0,79,3.7,3.9,4.5,3.1,15.2,0.54,0.1%
Šeško,FWD,7.3,78,4.6,3.0,3.9,3.6,15.1,0.52,0.0%
Schade,MID,7.0,80,4.0,4.1,3.4,3.5,15.1,0.54,0.0%
Tarkowski,DEF,5.5,91,4.0,2.9,3.9,4.3,15.1,0.69,54.4%
J.Timber,DEF,5.8,74,4.5,3.4,3.5,3.6,15.0,0.65,0.1%
Strand Larsen,FWD,6.4,77,3.9,3.8,4.1,3.2,14.9,0.58,4.6%
Donnarumma,GK,5.6,92,3.6,3.9,3.5,3.7,14.8,0.66,0.7%
Foden,MID,8.1,69,4.2,4.2,3.0,3.4,14.8,0.46,24.4%
