Name,Position,Price,xMins,GW4,GW5,GW6,GW7,Total,/£M,Elite%
M.Salah,MID,14.5,90,90,83,83,79,335,5.8,95.5%
Gyökeres,FWD,9.0,86,86,82,81,79,328,9.1,40.3%
Haaland,FWD,14.1,89,89,82,81,79,331,5.9,4.8%
Palmer,MID,10.4,79,79,86,84,82,331,8.0,12.5%
B.Fernandes,MID,9.0,88,88,85,88,84,345,9.6,93.0%
Mateta,FWD,7.5,87,87,84,81,79,331,11.0,60.0%
Watkins,FWD,8.9,83,83,79,77,76,315,8.8,46.8%
Mbeumo,MID,8.1,87,87,79,76,77,319,9.8,3.7%
Semenyo,MID,7.4,87,87,81,82,77,327,11.0,6.5%
Rogers,MID,7.0,89,89,82,81,78,330,11.8,11.3%
Ødegaard,MID,7.9,83,83,80,78,74,315,10.0,0.0%
Evanilson,FWD,7.0,81,81,79,76,73,309,11.0,13.7%
Murillo,DEF,5.5,90,90,87,86,83,346,15.7,67.3%
João Pedro,FWD,7.7,81,81,77,75,79,312,10.1,17.3%
Muñoz,DEF,5.5,89,89,87,85,86,347,15.8,6.9%
Rice,MID,6.5,85,85,80,76,78,319,12.3,0.1%
Cunha,MID,8.1,69,52,79,78,74,283,8.7,11.4%
Ndiaye,MID,6.5,77,77,73,72,70,292,11.2,2.8%
Georginio,MID,5.9,73,73,73,75,75,296,12.5,19.1%
Kluivert,MID,7.0,72,72,64,65,66,267,9.5,0.1%
Virgil,DEF,6.0,91,91,88,87,85,351,14.6,5.3%
Marmoush,MID,8.4,50,50,52,54,54,210,6.3,0.2%
Wood,FWD,7.7,81,81,78,74,77,310,10.1,14.5%
Gabriel,DEF,6.1,89,89,86,82,86,343,14.1,1.8%
Mitoma,MID,6.4,85,85,81,76,77,319,12.5,4.0%
Raya,GK,5.5,92,92,93,92,91,368,16.7,1.2%
Kudus,MID,6.6,77,77,75,71,63,286,10.8,9.0%
Enzo,MID,6.6,87,87,87,87,85,346,13.1,0.8%
Tielemans,MID,5.9,88,88,83,79,78,328,13.9,19.4%
Anderson,MID,5.5,83,83,78,80,76,317,14.4,25.7%
Martinez,GK,5.0,93,93,93,92,92,370,18.5,0.6%
Wirtz,MID,8.4,70,70,69,66,65,270,8.0,64.0%
Mac Allister,MID,6.4,78,78,73,78,76,305,11.9,0.0%
Xavi,MID,7.0,54,54,76,77,76,283,10.1,0.0%
Gakpo,MID,7.7,72,72,69,61,63,265,8.6,5.5%
O.Dango,MID,6.0,83,83,79,82,80,324,13.5,5.0%
Bowen,FWD,7.8,89,89,85,84,87,345,11.1,1.6%
Andersen,DEF,4.5,92,92,88,89,90,359,19.9,80.7%
Milenković,DEF,5.5,90,90,86,83,85,344,15.6,3.6%
Bruno G.,MID,6.5,89,89,82,79,80,330,12.7,0.1%
Cash,DEF,4.5,80,80,75,80,71,306,17.0,0.0%
Thiago,FWD,6.0,79,79,76,75,74,304,12.7,9.2%
Lacroix,DEF,5.0,90,90,87,81,81,339,16.9,3.5%
Yeremy,MID,6.0,85,64,78,73,68,283,11.8,0.0%
Schade,MID,7.0,80,80,73,75,71,299,10.7,0.0%
Saka,MID,9.9,88,23,55,84,78,240,6.1,0.1%
Rodrigo,MID,6.4,87,87,88,81,83,339,13.2,0.0%
Donnarumma,GK,5.5,94,94,94,92,93,373,17.0,0.0%
Konsa,DEF,4.5,90,90,91,86,85,352,19.6,6.0%
Pedro Porro,DEF,5.6,83,83,73,73,73,302,13.5,95.8%
A.Becker,GK,5.5,93,93,89,85,84,351,16.0,0.3%
Richards,DEF,4.5,89,89,86,79,80,334,18.6,14.2%
Gibbs-White,MID,7.5,77,77,75,74,74,300,10.0,0.3%
Neto,MID,7.0,72,72,69,67,68,276,9.9,0.1%
Reijnders,MID,5.7,77,77,70,71,74,292,12.8,54.5%
Iwobi,MID,6.5,81,81,76,78,73,308,11.8,0.0%
Senesi,DEF,4.6,90,90,88,87,84,349,19.0,2.0%
Petrović,GK,4.5,93,93,94,93,92,372,20.7,3.5%
Tarkowski,DEF,5.5,90,90,88,85,86,349,15.9,8.5%
Strand Larsen,FWD,6.4,82,82,74,75,74,305,11.9,41.7%
Schär,DEF,5.5,85,85,80,82,74,321,14.6,0.1%
Caicedo,MID,5.5,89,89,87,86,86,348,15.8,0.2%
Konaté,DEF,5.5,87,87,82,78,74,321,14.6,0.0%
Minteh,MID,5.9,73,73,68,70,69,280,11.9,0.2%
Guéhi,DEF,4.6,93,93,91,89,85,358,19.5,0.9%
Vicario,GK,5.0,94,94,94,92,91,371,18.6,10.3%
Šeško,FWD,7.4,67,67,73,70,71,281,9.5,0.0%
Henderson,GK,5.0,93,93,92,91,92,368,18.4,0.0%
Damsgaard,MID,5.9,84,84,83,79,76,322,13.6,0.0%
Tonali,MID,5.4,88,88,84,84,80,336,15.6,0.0%
