Name,xMins,GW1,GW2,GW3,GW4,GW5,Total,Points/£M,Elite%
M.Salah,88,7.3,5.7,5.5,6.3,7.0,31.8,0.44,57.5%
Palmer,87,6.2,5.5,6.1,5.5,4.7,28.0,0.53,53.7%
Haaland,89,5.9,6.0,5.1,5.7,4.0,26.7,0.38,20.2%
Watkins,86,5.1,4.8,5.3,4.5,5.8,25.5,0.57,16.4%
Marmoush,75,5.2,5.5,4.6,5.3,4.1,24.7,0.58,13.7%
Saka,84,4.8,6.2,3.9,5.4,4.3,24.5,0.49,15.2%
Isak,88,4.7,4.4,4.9,5.7,4.4,24.2,0.46,27.0%
B.Fernandes,91,4.7,4.7,5.9,3.8,4.9,24.1,0.54,14.2%
Wirtz,84,5.5,4.4,4.2,4.9,5.1,24.0,0.57,32.8%
Eze,84,3.8,5.1,3.9,6.0,4.2,23.0,0.61,9.2%
Mateta,85,3.8,4.7,3.9,5.7,3.9,21.9,0.58,6.3%
Rogers,87,4.3,4.1,4.3,3.8,4.6,21.1,0.60,23.8%
Solanke,84,5.3,3.3,4.4,4.0,3.9,21.0,0.56,11.8%
Bowen,90,4.9,3.9,4.0,4.2,3.9,20.8,0.52,20.2%
Virgil,91,4.6,3.7,3.4,4.3,4.4,20.4,0.68,23.8%
Gibbs-White,89,4.7,3.8,4.6,3.0,4.2,20.4,0.54,4.8%
Sarr,83,3.5,4.4,3.6,5.2,3.8,20.3,0.63,2.3%
Gakpo,67,4.5,3.6,3.6,4.3,4.2,20.3,0.54,4.9%
Semenyo,86,3.3,4.5,4.0,4.4,4.1,20.3,0.58,5.1%
Neto,84,4.6,4.2,4.3,3.7,3.4,20.2,0.58,4.2%
Ødegaard,86,4.1,5.0,3.2,4.4,3.5,20.2,0.50,3.3%
Wood,80,4.6,3.8,4.5,3.1,3.9,20.0,0.53,16.4%
Frimpong,81,4.6,3.4,3.3,4.3,4.3,19.9,0.66,25.7%
Mac Allister,87,4.7,3.7,3.6,3.9,4.0,19.8,0.61,1.5%
Evanilson,84,3.3,4.6,3.7,4.2,3.9,19.7,0.56,2.5%
Enzo,89,4.3,3.9,4.3,3.8,3.4,19.7,0.61,4.1%
Tielemans,85,4.1,3.8,4.0,3.5,4.1,19.5,0.65,1.7%
Ndiaye,78,4.1,4.2,3.9,4.1,3.0,19.4,0.60,12.7%
Strand Larsen,83,3.7,3.7,4.2,3.5,4.3,19.4,0.60,5.9%
Mitoma,84,4.5,3.7,3.4,3.5,4.1,19.3,0.59,6.0%
Mbeumo,82,3.8,3.9,4.6,3.0,3.6,18.9,0.47,16.8%
Rice,80,3.7,4.4,3.3,4.0,3.5,18.9,0.58,7.5%
Joelinton,90,3.8,3.4,4.0,4.1,3.6,18.9,0.63,0.5%
L.Paquetá,80,4.4,3.5,3.6,3.7,3.6,18.7,0.62,1.0%
Damsgaard,85,3.8,3.7,4.2,3.5,3.5,18.7,0.62,1.2%
Schade,71,3.5,3.9,4.1,3.4,3.6,18.6,0.53,1.9%
Welbeck,76,4.5,3.7,3.2,3.4,3.8,18.6,0.57,7.7%
A.Becker,94,4.1,3.5,3.3,3.9,3.8,18.5,0.67,11.0%
Cunha,76,3.6,3.8,4.7,3.0,3.4,18.5,0.46,10.4%
Anderson,85,4.0,3.6,3.9,3.1,3.8,18.5,0.67,4.4%
Iwobi,82,3.5,3.9,3.1,4.0,3.8,18.3,0.56,1.5%
Muñoz,90,2.7,4.3,2.8,5.1,3.3,18.3,0.67,8.5%
Murillo,88,4.1,3.6,4.1,2.6,4.0,18.3,0.66,4.8%
Rodrigo,86,3.9,3.9,3.6,3.8,3.0,18.2,0.56,1.6%
Raya,93,3.7,4.1,3.0,4.0,3.4,18.2,0.66,18.0%
Konaté,83,4.0,3.2,3.2,3.9,3.8,18.1,0.66,2.8%
Cucurella,91,4.1,3.5,4.0,3.2,3.1,18.0,0.60,18.9%
Pedro Porro,82,5.0,2.2,3.9,3.4,3.2,17.7,0.64,11.3%
Malen,64,3.7,3.5,3.5,3.1,3.9,17.6,0.64,3.0%
Sánchez,94,3.8,3.6,3.7,3.3,3.3,17.6,0.70,15.6%
Lacroix,91,2.9,4.0,2.9,4.6,3.2,17.6,0.70,1.0%
Ederson M.,92,3.8,3.8,3.3,3.7,3.0,17.6,0.64,3.7%
Bruno G.,90,3.5,3.3,3.6,3.8,3.4,17.5,0.54,1.5%
Kudus,74,4.4,2.7,3.8,3.3,3.2,17.4,0.54,25.3%
N.Williams,90,4.0,3.2,3.9,2.5,3.8,17.4,0.70,4.4%
Kluivert,74,3.0,4.2,3.3,3.6,3.3,17.4,0.50,4.8%
Georginio,63,4.0,3.3,3.0,3.2,3.8,17.3,0.58,0.4%
Tarkowski,92,3.9,3.8,3.7,3.4,2.5,17.2,0.63,5.0%
Milenković,90,3.8,3.3,3.8,2.5,3.8,17.2,0.63,9.1%
Caicedo,91,3.7,3.4,3.6,3.3,3.2,17.2,0.63,7.1%
Richards,86,2.8,3.8,2.7,4.6,3.1,17.0,0.76,1.0%
Gabriel,71,3.0,4.3,2.6,4.1,3.1,17.0,0.57,22.0%
Saliba,90,3.5,4.2,2.5,3.9,2.9,16.9,0.56,14.0%
Guéhi,91,2.7,3.7,2.7,4.5,3.2,16.9,0.75,13.2%
Collins,92,3.4,3.3,4.1,3.0,3.0,16.9,0.68,1.7%
Tonali,91,3.5,3.2,3.4,3.6,3.2,16.9,0.61,2.3%
Schär,87,3.1,2.8,3.7,4.0,3.2,16.8,0.61,2.3%
Areola,94,3.8,3.1,3.2,3.3,3.4,16.7,0.74,5.5%
Wilson,70,3.4,3.6,2.8,3.5,3.4,16.7,0.61,1.4%
Sels,94,3.6,3.2,3.5,2.8,3.5,16.6,0.66,17.9%
Flemming,74,3.2,4.4,3.0,2.8,3.3,16.6,0.60,0.2%
Andersen,89,3.1,3.5,2.7,3.8,3.5,16.6,0.74,1.4%
Pickford,94,3.5,3.5,3.5,3.4,2.7,16.6,0.60,12.2%
Verbruggen,93,3.6,3.4,3.0,3.2,3.4,16.5,0.74,6.8%
Van den Berg,92,3.4,3.1,4.0,3.0,3.0,16.5,0.73,0.4%
Vicario,93,3.9,2.8,3.5,3.2,3.1,16.5,0.66,3.4%
Gyökeres,48,3.1,3.7,2.8,3.7,3.2,16.5,0.37,23.3%
Gomes,88,3.2,3.3,3.5,3.0,3.5,16.5,0.60,0.1%
Kelleher,94,3.3,3.3,3.7,3.0,3.1,16.3,0.73,31.4%
Wissa,57,3.1,3.4,3.8,3.0,3.0,16.3,0.43,7.0%
Munetsi,84,3.2,3.2,3.4,3.0,3.4,16.2,0.59,0.1%
Gordon,64,3.0,3.0,3.4,3.8,3.1,16.2,0.43,3.1%
Wan-Bissaka,90,4.1,2.9,2.8,3.2,3.2,16.2,0.72,31.3%
McNeil,78,3.4,3.7,3.2,3.3,2.5,16.2,0.54,0.8%
Leno,92,3.0,3.4,2.8,3.6,3.3,16.1,0.65,1.7%
Gana,89,3.5,3.4,3.3,3.1,2.9,16.1,0.59,0.1%
Minteh,64,3.6,3.2,2.9,3.3,3.2,16.1,0.54,1.3%
Petrović,93,2.8,3.6,3.1,3.4,3.2,16.1,0.72,4.2%
Konsa,90,3.1,2.9,3.3,3.0,3.7,16.0,0.71,23.5%
Kilman,90,4.0,2.8,3.0,3.1,3.1,16.0,0.71,0.4%
Estève,91,3.1,4.3,2.8,2.4,3.4,16.0,0.80,12.8%
Henderson,89,2.8,3.5,2.9,3.8,3.0,16.0,0.64,3.5%
José Sá,93,2.9,3.1,3.5,3.0,3.5,15.9,0.71,2.4%
Hall,87,3.0,2.7,3.3,3.9,3.0,15.9,0.58,2.7%
Reijnders,66,3.3,3.5,3.1,3.4,2.6,15.9,0.58,4.6%
Perri,93,3.6,2.8,3.1,3.0,3.2,15.7,0.70,0.3%
J.Arias,55,2.6,2.9,3.6,2.9,3.8,15.7,0.57,1.2%
Todibo,88,3.8,2.7,2.9,3.1,3.2,15.7,0.70,0.1%
Senesi,86,2.4,4.0,2.9,3.3,3.1,15.7,0.70,0.7%
Gvardiol,69,3.4,3.7,2.9,3.3,2.3,15.6,0.52,17.4%
Tel,54,3.7,2.4,3.4,3.2,2.9,15.6,0.48,0.2%
Baleba,87,3.5,3.1,2.9,3.1,3.0,15.6,0.62,4.8%
Füllkrug,69,3.7,2.9,2.7,3.2,3.0,15.6,0.52,2.1%
Dorgu,80,2.8,3.2,4.4,2.1,3.0,15.6,0.69,5.5%
Romero,90,4.3,2.1,3.4,3.0,2.7,15.6,0.62,1.8%
Anthony,70,2.9,4.0,2.8,2.7,3.2,15.5,0.57,0.1%
Hudson-Odoi,74,3.6,3.0,3.4,2.5,3.1,15.5,0.52,1.8%
Zabarnyi,91,2.4,3.8,2.9,3.3,3.1,15.5,0.62,0.5%
Ekitiké,47,3.4,2.9,2.5,3.2,3.4,15.4,0.36,5.4%
Cash,79,3.1,2.7,3.1,2.8,3.7,15.4,0.69,1.7%
Van Hecke,92,3.7,3.2,2.4,2.9,3.1,15.4,0.68,1.2%
Pope,87,2.9,2.8,3.3,3.4,2.9,15.3,0.61,3.8%
Dúbravka,90,2.9,3.8,2.8,2.6,3.2,15.3,0.76,18.7%
Szoboszlai,67,4.0,2.6,2.6,2.9,3.1,15.3,0.47,1.8%
Adingra,76,3.3,3.2,3.2,2.7,2.8,15.3,0.56,2.7%
Alcaraz,67,3.1,3.3,3.2,3.2,2.5,15.3,0.56,0.3%
Mitchell,76,2.3,3.5,2.5,4.2,2.9,15.2,0.61,1.0%
Thiago,51,2.9,3.1,3.4,2.8,3.0,15.2,0.51,1.1%
Lewis-Skelly,82,3.1,3.9,2.0,3.6,2.5,15.1,0.55,5.4%
Branthwaite,91,3.4,3.3,3.3,3.0,2.1,15.1,0.55,1.9%
Tavernier,65,2.7,3.3,2.8,3.2,3.0,15.1,0.55,0.4%
João Pedro,66,3.9,2.9,3.0,2.6,2.6,15.1,0.40,51.9%
James,69,3.6,2.5,3.1,2.9,2.9,15.0,0.55,0.8%
