Name,Position,Price,xMins,GW1,GW2,GW3,GW4,GW5,Total,/£M,Elite%
M.Salah,MID,14.5,88,7.3,5.9,5.7,6.7,6.8,32.4,0.45,53.6%
Palmer,MID,10.5,90,6.1,5.5,5.9,5.1,4.9,27.5,0.52,61.4%
Haaland,FWD,14.0,85,5.8,6.4,5.1,5.7,4.1,27.2,0.39,23.3%
Saka,MID,10.0,88,5.3,6.5,3.8,5.5,4.5,25.7,0.51,17.3%
B.Fernandes,MID,9.0,90,4.6,4.8,6.0,3.9,4.7,24.0,0.53,21.0%
Eze,MID,7.5,88,4.1,5.0,4.1,6.3,4.5,23.9,0.64,10.4%
Marmoush,MID,8.5,73,5.0,5.1,4.5,5.1,3.4,23.1,0.54,12.2%
Watkins,FWD,9.0,86,4.8,4.2,4.6,4.1,5.2,22.9,0.51,25.0%
Mateta,FWD,7.5,86,3.9,4.9,4.0,5.7,4.4,22.9,0.61,9.1%
Wirtz,MID,8.5,82,5.0,4.1,4.1,4.5,5.0,22.9,0.54,34.9%
Evanilson,FWD,7.0,90,3.8,5.0,4.1,4.4,4.2,21.5,0.61,2.1%
Semenyo,MID,7.0,90,3.6,5.2,4.1,4.4,4.0,21.2,0.61,5.2%
Gyökeres,FWD,9.0,66,4.1,4.7,3.4,4.8,4.1,21.1,0.47,26.0%
Bowen,FWD,8.0,88,4.9,4.0,3.8,4.3,4.1,21.0,0.52,18.5%
Sarr,MID,6.5,81,3.6,4.5,3.6,5.3,3.9,21.0,0.65,5.4%
Gakpo,MID,7.5,67,4.4,3.5,3.5,4.6,4.4,20.4,0.55,6.8%
L.Paquetá,MID,6.0,79,4.5,3.8,3.8,4.1,3.8,20.2,0.67,1.2%
Georginio,MID,6.0,76,4.8,4.1,3.6,3.6,4.2,20.1,0.67,1.1%
Strand Larsen,FWD,6.5,82,3.8,3.9,4.3,3.6,4.5,20.1,0.62,5.1%
Ekitiké,FWD,8.5,69,4.7,3.8,3.5,3.8,4.1,20.0,0.47,13.4%
Virgil,DEF,6.0,91,4.4,3.6,3.5,4.2,4.2,19.9,0.66,23.5%
Ødegaard,MID,8.0,82,4.0,4.7,3.3,4.2,3.7,19.9,0.50,3.3%
Tielemans,MID,6.0,87,4.1,3.7,4.1,3.7,4.2,19.8,0.66,2.2%
Enzo,MID,6.5,90,4.2,3.9,4.2,3.7,3.7,19.7,0.60,3.6%
Mitoma,MID,6.5,84,4.5,4.0,3.5,3.6,4.0,19.6,0.60,7.1%
Mac Allister,MID,6.5,79,4.2,3.7,3.5,4.0,4.0,19.5,0.60,1.6%
Murillo,DEF,5.5,87,4.2,3.6,4.3,3.0,4.2,19.3,0.70,6.3%
Rogers,MID,7.0,78,3.3,3.8,4.1,3.7,4.3,19.1,0.55,10.2%
Wood,FWD,7.5,83,4.4,3.6,4.2,3.0,3.9,19.1,0.51,13.7%
Damsgaard,MID,6.0,86,3.9,3.8,4.3,3.6,3.4,19.0,0.63,1.2%
Rice,MID,6.5,82,3.8,4.5,3.2,3.9,3.4,18.9,0.58,7.6%
Ndiaye,MID,6.5,78,4.2,4.1,3.8,3.8,2.9,18.9,0.58,13.0%
Tavernier,MID,5.5,82,3.3,4.4,3.5,3.8,3.8,18.8,0.68,0.3%
Gordon,MID,7.5,72,3.6,3.8,4.5,3.7,3.1,18.7,0.50,1.4%
Frimpong,DEF,6.0,79,4.4,3.0,3.2,4.1,4.1,18.7,0.62,30.7%
J.Arias,MID,5.5,76,3.5,3.6,4.1,3.2,4.3,18.7,0.68,0.9%
Muñoz,DEF,5.5,89,2.8,4.3,2.9,5.4,3.3,18.7,0.68,8.9%
Joelinton,MID,6.0,85,3.7,3.6,4.0,4.1,3.3,18.6,0.62,0.5%
Schade,MID,7.0,78,3.1,4.1,4.2,3.6,3.6,18.6,0.53,0.6%
Gibbs-White,MID,7.5,84,4.3,3.4,4.1,2.9,3.8,18.5,0.49,5.3%
Anderson,MID,5.5,82,4.2,3.7,4.0,3.1,3.5,18.4,0.67,7.1%
Iwobi,MID,6.5,84,3.5,3.9,3.0,3.9,3.8,18.1,0.56,1.7%
Thiago,FWD,6.0,77,3.9,4.0,4.5,3.1,2.5,18.1,0.60,0.9%
Solanke,FWD,7.5,45,3.1,2.7,4.3,4.1,3.7,18.1,0.48,5.5%
A.Becker,GK,5.5,93,3.9,3.4,3.4,3.6,3.7,18.0,0.65,11.2%
Lacroix,DEF,5.0,90,3.0,4.0,3.1,4.6,3.4,18.0,0.72,1.1%
Raya,GK,5.5,93,3.7,4.1,3.0,3.8,3.3,18.0,0.65,16.8%
Bruno G.,MID,6.5,91,3.6,3.5,3.7,3.7,3.5,17.9,0.55,1.7%
Malen,MID,5.5,67,3.7,3.5,3.6,3.1,3.9,17.9,0.65,2.4%
Raúl,FWD,6.5,79,3.7,4.1,2.9,3.6,3.4,17.7,0.55,2.3%
